UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000,149.85,11.005,8.866,-78.85,0.00101523,405.786,1.04,0.34,9.4,0.4995,0.0,0.0,66.032,3.12,HAPS
UE_001,108.86,14.651,12.662,-78.255,0.00010525,556.69,0.96,0.41,9.4,0.3629,0.0,0.0,79.316,4.28,HAPS
UE_002,90.79,16.376,10.463,-78.537,0.00100562,467.978,0.79,1.89,9.4,0.3026,0.0,0.0,71.62,3.6,HAPS
UE_003,172.04,13.504,10.762,-78.951,0.0010214,479.856,1.37,3.08,9.4,0.5735,0.0,0.0,72.666,3.69,HAPS
UE_004,144.38,13.044,8.619,-79.022,0.00100111,396.375,1.25,1.87,9.4,0.4813,0.0,0.0,65.168,3.05,HAPS
UE_005,86.76,20.139,17.087,-74.639,0.00010636,741.517,0.75,1.16,9.4,0.2892,0.0,0.0,94.803,5.7,HAPS
UE_006,169.52,11.974,8.916,-78.19,0.00101221,407.696,1.88,0.75,9.4,0.5651,0.0,0.0,66.207,3.14,HAPS
UE_007,51.03,12.435,10.629,-78.564,0.00100882,474.581,0.83,5.1,9.4,0.1701,0.0,0.0,72.202,3.65,HAPS
UE_008,90.28,17.855,13.554,-77.551,0.0001072,593.425,1.19,3.53,9.4,0.3009,0.0,0.0,82.439,4.56,HAPS
UE_009,175.89,16.987,14.106,-77.637,0.00010134,616.318,1.48,3.24,9.4,0.5863,0.0,0.0,84.371,4.74,HAPS
UE_010,111.13,18.295,15.907,-74.821,0.00010931,691.699,1.25,2.95,9.4,0.3704,0.0,0.0,90.675,5.32,HAPS
UE_011,115.67,16.069,11.445,-78.474,0.001011,507.256,1.32,0.13,9.4,0.3856,0.0,0.0,75.059,3.9,HAPS
UE_012,147.03,17.582,14.386,-75.397,0.00011356,627.959,1.6,4.36,9.4,0.4901,0.0,0.0,85.35,4.83,HAPS
UE_013,173.1,15.89,12.814,-76.082,0.00010796,562.937,1.18,1.65,9.4,0.577,0.0,0.0,79.849,4.33,HAPS
UE_014,110.62,15.771,13.336,-79.734,0.00010822,584.424,0.95,0.1,9.4,0.3687,0.0,0.0,81.676,4.5,HAPS
UE_015,116.79,20.832,19.874,-73.681,0.00010019,860.185,1.53,0.57,9.4,0.3893,0.0,0.0,100.0,6.62,HAPS
UE_016,143.75,7.441,3.923,-82.088,0.02000502,233.209,1.21,33.84,9.4,0.4792,0.0,0.0,48.729,1.79,HAPS
UE_017,44.4,21.095,17.424,-74.982,0.00010513,755.8,1.03,4.46,9.4,0.148,0.0,0.0,95.982,5.81,HAPS
UE_018,106.91,10.437,8.612,-80.091,0.00100673,396.108,0.92,0.23,9.4,0.3564,0.0,0.0,65.143,3.05,HAPS
UE_019,112.75,17.03,12.567,-76.189,0.00010261,552.809,1.2,0.1,9.4,0.3758,0.0,0.0,78.984,4.25,HAPS
UE_000,149.8,23.615,21.961,-73.588,1.289e-05,949.568,1.47,0.82,9.4,0.4993,0.0,0.0,100.0,7.3,HAPS
UE_001,108.98,16.402,13.806,-74.913,0.00010175,603.883,1.05,0.9,9.4,0.3633,0.0,0.0,83.323,4.65,HAPS
UE_002,90.63,17.433,11.76,-77.356,0.00100993,519.948,1.4,0.1,9.4,0.3021,0.0,0.0,76.159,4.0,HAPS
