UE_ID,sat_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
UE_000,LEO,2095.2,8.895,5.757,-80.905,0.0011523,731.988,14.19,0.85,71.5,6.984,0.0,0.0,55.149,2.25
UE_001,LEO,2231.06,8.377,5.387,-82.392,0.00105252,700.75,14.96,1.01,-411.3,7.4369,0.0,0.0,53.856,2.16
UE_002,LEO,1790.69,9.049,2.135,-83.201,0.01005623,454.3,12.44,6.43,83.9,5.969,0.0,0.0,42.474,1.4
UE_003,LEO,1478.37,7.945,5.259,-82.935,0.00114123,690.072,10.08,3.04,-355.6,4.9279,0.0,0.0,53.408,2.12
UE_004,LEO,2024.97,-11.472,-14.874,-89.176,0.10003942,15.021,14.2,23.37,-424.6,6.7499,37.23,18.79,0.0,0.05
UE_005,LEO,1417.67,9.839,4.323,-81.681,0.01009474,614.216,9.54,10.22,-116.0,4.7256,0.0,0.0,50.132,1.89
UE_006,LEO,2386.49,8.202,4.567,-82.92,0.01001618,633.527,16.64,33.96,-279.7,7.955,0.0,0.0,50.983,1.95
UE_007,LEO,2562.36,6.775,2.77,-82.842,0.01003893,497.96,17.91,38.4,319.9,8.5412,0.0,0.0,44.694,1.53
UE_008,LEO,2406.39,5.845,1.937,-80.299,0.01011936,441.126,16.09,17.31,-215.5,8.0213,0.0,0.0,41.78,1.36
UE_009,LEO,1605.14,9.44,7.322,-82.289,0.00115833,870.151,10.8,1.58,213.9,5.3505,0.0,0.0,60.625,2.68
UE_010,LEO,1589.16,8.462,5.519,-81.425,0.0011763,711.84,10.96,0.76,-334.7,5.2972,0.0,0.0,54.318,2.19
UE_011,LEO,1493.31,10.293,6.181,-79.959,0.0010755,768.5,10.6,0.38,438.0,4.9777,0.0,0.0,56.632,2.36
UE_012,LEO,2052.78,6.956,3.647,-82.191,0.01009755,562.048,13.85,25.49,401.6,6.8426,0.0,0.0,47.765,1.73
UE_013,LEO,2585.33,6.834,2.648,-83.689,0.01011962,489.433,17.92,50.51,-356.7,8.6178,0.0,0.0,44.27,1.51
UE_014,LEO,2286.4,9.105,5.462,-81.519,0.00110035,706.988,15.56,0.64,455.9,7.6213,0.0,0.0,54.116,2.18
UE_015,LEO,1574.84,10.65,8.446,-79.179,0.00103382,974.525,11.38,3.4,430.7,5.2495,0.0,0.0,64.561,3.0
UE_016,LEO,1640.55,5.093,1.915,-83.366,0.0100299,439.7,11.85,29.78,-369.9,5.4685,0.0,0.0,41.704,1.35
UE_017,LEO,1570.83,9.339,2.352,-81.55,0.01003571,468.925,10.73,36.57,443.7,5.2361,0.0,0.0,43.231,1.44
UE_018,LEO,2456.95,9.903,6.385,-81.857,0.00105018,786.344,17.38,13.27,272.8,8.1898,0.0,0.0,57.347,2.42
UE_019,LEO,1913.34,9.202,6.36,-81.142,0.00103145,784.151,12.87,1.03,245.3,6.3778,0.0,0.0,57.259,2.41
UE_000,LEO,2078.42,8.321,6.29,-82.542,0.00103277,778.015,13.92,1.29,-441.0,6.9281,0.0,0.0,57.014,2.39
UE_001,LEO,1734.27,10.716,6.424,-83.297,0.00103455,789.811,12.53,1.26,-10.9,5.7809,0.0,0.0,57.485,2.43
UE_002,LEO,2405.09,7.23,1.428,-82.546,0.01004041,408.383,16.72,34.0,33.2,8.017,0.0,0.0,39.997,1.26
UE_003,LEO,1573.56,12.024,9.198,-79.731,0.00100744,1046.313,10.93,16.41,-343.7,5.2452,0.0,0.0,67.194,3.22
UE_004,LEO,1835.21,-8.458,-14.131,-91.301,0.10009926,17.77,12.5,32.03,-129.3,6.1174,37.23,17.03,0.0,0.05
UE_005,LEO,1450.11,9.705,4.272,-81.807,0.01000039,610.192,9.97,39.5,-228.8,4.8337,0.0,0.0,49.953,1.88
UE_006,LEO,2052.56,8.932,5.673,-82.109,0.00104215,724.857,14.22,3.36,374.0,6.8419,0.0,0.0,54.856,2.23
UE_007,LEO,2290.08,1.212,-2.036,-84.603,0.10009094,227.854,15.29,55.17,-87.2,7.6336,17.97,8.38,27.874,0.7
UE_008,LEO,2430.21,9.82,3.418,-80.503,0.01021905,544.923,16.26,52.41,-402.1,8.1007,0.0,0.0,46.964,1.68
UE_009,LEO,2525.73,6.127,2.561,-82.837,0.01005035,483.339,16.91,46.07,237.0,8.4191,0.0,0.0,43.964,1.49
UE_010,LEO,2272.17,5.579,1.647,-84.273,0.01004736,422.305,15.7,19.31,331.9,7.5739,0.0,0.0,40.765,1.3
UE_011,LEO,2421.41,6.347,2.896,-83.61,0.01003221,506.957,16.68,44.42,214.3,8.0714,0.0,0.0,45.138,1.56
UE_012,LEO,1481.61,10.675,6.444,-80.435,0.00113071,791.547,10.53,3.77,407.3,4.9387,0.0,0.0,57.554,2.44
UE_013,LEO,1813.34,8.153,3.947,-83.364,0.01011907,584.901,12.31,23.26,-49.8,6.0445,0.0,0.0,48.815,1.8
UE_014,LEO,2023.63,10.211,4.343,-80.277,0.01012171,615.794,13.56,39.08,452.4,6.7454,0.0,0.0,50.202,1.89
UE_015,LEO,1520.52,9.68,7.527,-80.985,0.00112169,888.98,10.21,5.89,-247.3,5.0684,0.0,0.0,61.346,2.74
UE_016,LEO,1533.21,7.518,4.174,-83.216,0.01007871,602.516,10.35,55.52,-386.2,5.1107,0.0,0.0,49.61,1.85
UE_017,LEO,1999.46,10.039,4.218,-80.017,0.01004128,605.942,14.14,15.28,77.8,6.6649,0.0,0.0,49.763,1.86
UE_018,LEO,1335.7,11.174,10.071,-80.658,0.00017537,1131.299,9.37,1.54,181.3,4.4523,0.0,0.0,70.249,3.48
UE_019,LEO,2220.71,9.29,5.05,-80.146,0.0010538,672.79,14.9,3.49,-406.8,7.4024,0.0,0.0,52.677,2.07
