UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000,0.5509,18.804,12.743,-59.95,0.00101523,323.089,1.56,0.25,9.48,0.001836,0.0,0.0,79.6,4.31,5G_NR
UE_001,0.0467,42.611,38.074,-49.275,5.35e-06,948.606,1.07,0.3,134.49,0.000156,0.0,0.0,100.0,12.65,5G_NR
UE_002,0.5813,19.819,10.945,-61.815,0.00100562,281.068,1.27,1.42,-47.35,0.001938,0.0,0.0,73.309,3.75,5G_NR
UE_003,0.661,22.614,16.226,-59.396,3.14e-05,406.812,1.6,2.31,-113.15,0.002203,0.0,0.0,91.791,5.42,5G_NR
UE_004,0.2401,29.278,22.168,-55.905,1.21e-06,552.969,1.17,1.4,-26.32,0.0008,0.0,0.0,100.0,7.37,5G_NR
UE_005,0.049,46.321,42.0,-46.549,6.46e-06,1046.405,1.59,0.87,37.63,0.000163,0.0,0.0,100.0,13.95,5G_NR
UE_006,0.4534,23.722,18.771,-57.317,2.221e-05,469.093,1.57,0.56,22.01,0.001511,0.0,0.0,100.0,6.25,5G_NR
UE_007,0.2495,12.647,7.795,-63.458,0.00100882,210.848,1.1,3.82,-18.22,0.000832,0.0,0.0,62.284,2.81,5G_NR
UE_008,0.5121,23.174,17.221,-59.892,1.72e-05,431.086,1.01,2.65,-69.6,0.001707,0.0,0.0,95.274,5.75,5G_NR
UE_009,0.228,38.252,30.213,-52.005,1.44e-06,752.847,1.2,2.43,137.54,0.00076,0.0,0.0,100.0,10.04,5G_NR
UE_010,0.5565,25.748,22.931,-56.095,9.41e-06,571.875,1.31,2.21,-11.98,0.001855,0.0,0.0,100.0,7.63,5G_NR
