UE_ID,sat_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz
UE_000,LEO,1084.6,8.538,5.438,-86.531,0.0001,705.041,9.231,1.5,-4191.0,3.62,0.0,0.0,54.03,2.17
UE_001,LEO,880.5,10.225,5.525,-83.988,0.000172,712.297,16.87,1.0,-1891.6,2.94,0.0,0.0,54.34,2.19
UE_002,LEO,808.0,11.567,6.267,-84.517,0.000159,775.998,5.387,2.4,509.6,2.69,0.0,0.0,56.93,2.39
UE_003,LEO,839.2,10.978,7.778,-85.311,0.000143,912.038,11.595,2.6,-1713.6,2.8,0.0,0.0,62.22,2.81
UE_004,LEO,987.9,9.832,4.732,-85.384,0.00182,646.831,16.586,8.0,361.5,3.29,0.0,0.0,51.56,1.99
UE_005,LEO,1299.7,8.994,3.894,-85.503,0.00155,580.854,22.665,10.0,3136.4,4.33,0.0,0.0,48.63,1.79
UE_006,LEO,1731.3,7.355,4.355,-85.722,0.00183,616.725,23.542,11.0,1989.4,5.77,0.0,0.0,50.24,1.9
UE_007,LEO,1793.4,8.192,4.092,-86.604,0.00162,596.083,25.956,5.0,4047.8,5.98,0.0,0.0,49.32,1.83
UE_008,LEO,1506.5,8.826,3.326,-85.087,0.00134,538.107,19.044,11.0,2722.4,5.02,0.0,0.0,46.64,1.66
UE_009,LEO,1111.5,8.39,5.49,-85.905,0.000164,709.337,13.41,0.3,-2787.1,3.7,0.0,0.0,54.21,2.18
UE_010,LEO,874.0,11.279,7.179,-83.561,0.000193,857.199,12.826,3.0,1005.0,2.91,0.0,0.0,60.13,2.64
UE_011,LEO,802.1,12.823,6.623,-84.088,0.000105,807.402,12.347,2.1,-2189.4,2.67,0.0,0.0,58.18,2.48
UE_012,LEO,849.2,10.29,7.09,-85.355,0.000189,849.109,16.662,0.2,-1049.5,2.83,0.0,0.0,59.81,2.61
UE_013,LEO,1009.8,8.789,3.689,-86.205,0.00183,565.231,19.732,8.0,-3012.0,3.37,0.0,0.0,47.91,1.74
