UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UE_000000,0.0066,31.38,27.214,-63.62,5.1881e-06,9.78,1.5,0.2756,16.8949,2.2e-05,0,0,73.6706,7.703969,WiFi6_5GHz,2.377692565480851,5.284991577823943,0.2434166561537655
UE_000001,0.0068,37.98,32.7803,-57.02,1.3e-09,29.74,1.5,0.0786,31.1286,2.3e-05,0,0,75.9789,11.90355,WiFi6_5GHz,3.4255647381104497,8.885722703438415,0.0756639039209896
UE_000002,0.001,-0.89,-9.2982,-95.89,0.0807027794,32.04,1.6084,37.1428,30.0204,3e-06,0,0,22.9812,0.60028,WiFi6_5GHz,3.497718948652777,1.0931115079330573,3.641337011216473
UE_000003,0.0055,15.48,10.1337,-79.52,0.000164688,16.17,1.5,0.9894,-26.286,1.8e-05,0,0,55.9481,3.573717,WiFi6_5GHz,2.843163674909384,3.7833380419311653,0.6878330857361765
UE_000004,0.0037,5.84,-1.3045,-89.16,0.0016197723,16.52,1.5,25.7486,-31.1574,1.2e-05,0,0,39.4829,1.350936,WiFi6_5GHz,2.8633430855082453,2.7905460319817603,3.286482135523818
UE_000005,0.0013,8.26,1.5273,-86.74,0.0445643436,12.96,1.5149,12.2733,14.1129,4e-06,0,0,45.4136,1.708192,WiFi6_5GHz,2.6361960973342264,1.3510124859220538,2.5857544986639334
UE_000006,0.0132,52.01,46.339,-42.99,4.7e-09,7.45,1.5,0.34,11.9506,4.4e-05,0,0,80.9097,11.706536,WiFi6_5GHz,2.1341664413690826,8.327809748811747,0.29266961396282
UE_000007,0.0092,15.34,10.9923,-79.66,8.69152e-05,8.96,1.5,1.7656,-25.0228,3.1e-05,0,0,58.3566,3.493241,WiFi6_5GHz,2.298577071596507,4.060904261145304,1.0172576096252777
UE_000008,0.0061,67.97,59.762,-27.03,2.2e-09,21.5,1.5,0.1506,-1.351,2e-05,0,0,81.2694,11.575653,WiFi6_5GHz,3.1135153092103742,8.657379957446652,0.14028354544705604
UE_000009,0.0092,11.32,5.9198,-83.68,0.0091824833,21.53,1.5,6.5393,31.67,3.1e-05,0,0,52.2056,2.189764,WiFi6_5GHz,3.114847754444153,2.037039852777403,2.020129339513846
UE_000010,0.0022,10.78,2.3148,-84.22,0.0181848652,15.24,1.5,5.6758,29.9571,7e-06,0,0,50.8558,1.767472,WiFi6_5GHz,2.787477334733532,1.740289913893231,1.8984890472921192
UE_000011,0.0022,44.48,40.1574,-50.52,4.7e-09,19.79,1.5,0.0493,-27.3452,7e-06,0,0,80.3202,11.628333,WiFi6_5GHz,3.0344721018699214,8.327809748811747,0.04812327518172827
UE_000012,0.0056,54.45,48.0361,-40.55,5.8e-09,11.44,1.5,0.1433,12.0256,1.9e-05,0,0,82.1248,11.795174,WiFi6_5GHz,2.5209170873110334,8.236497134532403,0.1339188175657872
UE_000013,0.0099,12.34,2.9079,-82.66,0.0156097634,38.66,1.5,5.3439,20.6223,3.3e-05,0,0,54.8001,2.126441,WiFi6_5GHz,3.68034312309165,1.8066036795396865,1.8474937212827116
UE_000014,0.0128,45.39,39.1636,-49.61,8.5e-09,21.42,1.6209,0.3338,4.8074,4.3e-05,0,0,80.6161,12.279024,WiFi6_5GHz,3.109953417644014,8.07052998382251,0.2880320112160688
UE_000015,0.007,44.78,39.7119,-50.22,6.7e-09,12.21,1.5,0.236,-31.67,2.3e-05,0,0,81.946,11.487909,WiFi6_5GHz,2.580974118534234,8.173860382064085,0.211880359035499
UE_000016,0.0093,6.24,0.2011,-88.76,0.033282618,6.32,1.5,24.6626,10.8803,3.1e-05,0,0,34.1561,1.135586,WiFi6_5GHz,1.9906103279732201,1.4777825195607202,3.245034679073943
UE_000017,0.0125,5.95,0.9409,-89.05,0.0151391985,24.53,1.5267,29.0768,-23.8247,4.2e-05,0,0,29.7867,1.249706,WiFi6_5GHz,3.2398542312533927,1.8198971166329727,3.4037541104438453
UE_000018,0.0057,32.12,26.9505,-62.88,2.3796e-06,30.46,1.5099,0.2247,-0.9001,1.9e-05,0,0,78.6185,10.671954,WiFi6_5GHz,3.4487168976301317,5.623495857239765,0.20269591604510462
UE_000019,0.0036,18.42,10.9778,-76.58,0.0006850082,16.26,1.6219,0.8118,-16.2619,1.2e-05,0,0,61.1613,3.187788,WiFi6_5GHz,2.848391685655282,3.1643042290510404,0.5943208262530504
UE_000020,0.0069,3.56,-4.0406,-91.44,0.0698319842,13.54,1.5,34.3546,-9.0648,2.3e-05,0,0,27.5534,0.909385,WiFi6_5GHz,2.6769034721053733,1.1559456177713472,3.5654285111752033
UE_000021,0.0067,42.51,38.312,-52.49,9.9e-09,20.31,1.5,0.2577,1.7647,2.2e-05,0,0,78.6252,11.585719,WiFi6_5GHz,3.0591764461105257,8.004320939488379,0.2292846560709728
UE_000022,0.0039,45.79,42.8073,-49.21,4.2e-09,22.94,1.5,0.3559,-15.6418,1.3e-05,0,0,81.3347,11.906719,WiFi6_5GHz,3.1755507001298273,8.376647318462007,0.30446544048612645
UE_000023,0.0112,43.41,37.2102,-51.59,2.5e-09,15.23,1.5,0.4238,29.2369,3.7e-05,0,0,80.2617,11.746867,WiFi6_5GHz,2.7868613815264998,8.601886308269497,0.35332935368763585
UE_000024,0.0039,5.81,-0.5922,-89.19,0.0211731743,14.9,1.5,32.4246,-3.7997,1.3e-05,0,0,31.53,1.272931,WiFi6_5GHz,2.766319109226186,1.6742140272869668,3.5092921558258996
UE_000025,0.0123,20.76,17.0901,-74.24,8.61997e-05,18.6,1.5,0.9568,23.368,4.1e-05,0,0,62.9815,4.427374,WiFi6_5GHz,2.975529566236472,4.064494240605395,0.6713104859507708
UE_000026,0.0064,13.5,5.7295,-81.5,0.0463946451,10.24,1.7534,2.0633,20.0042,2.1e-05,0,0,55.7662,2.745712,WiFi6_5GHz,2.419478844465545,1.3335321430936746,1.119492766247465
UE_000027,0.0047,13.82,6.4921,-81.18,0.0470302803,18.34,1.5,2.5068,-27.7586,1.6e-05,0,0,57.3126,1.96551,WiFi6_5GHz,2.9621754900251482,1.3276224328462063,1.2547039407322935
UE_000028,0.0059,6.21,-0.8295,-88.79,0.0073548631,24.05,1.5,21.0553,-8.8853,2e-05,0,0,35.4735,1.389015,WiFi6_5GHz,3.2208738275308737,2.1334254065576066,3.093552935822134
UE_000029,0.0064,19.46,12.567,-75.54,0.0009594336,18.8,1.6779,1.0183,29.3956,2.1e-05,0,0,62.1279,4.493613,WiFi6_5GHz,2.9856819377004897,3.0179850758707967,0.7022555729239363
UE_000030,0.0031,12.83,4.2127,-82.17,0.0409316861,14.67,1.5,4.5698,-9.655,1e-05,0,0,56.9568,2.506795,WiFi6_5GHz,2.7517480563679295,1.3879403650718591,1.7173591466518048
