epoch,step,min,max,mean,std
1,2000,-0.004781493917107582,0.004220361355692148,-2.026030415436253e-05,0.0004463648365344852
2,4000,-0.007729411590844393,0.007855609990656376,1.4190838555805385e-05,0.0008771390421316028
3,6000,-0.009842479601502419,0.01229000836610794,2.6574498406262137e-05,0.001198240090161562
4,8000,-0.005778936203569174,0.008828293532133102,4.7177156375255436e-05,0.0006524572963826358
5,10000,-0.004421859048306942,0.0038759049493819475,5.633076398225967e-06,0.00043127694516442716
6,12000,-0.009824208915233612,0.00817866437137127,-2.8713810024783015e-05,0.0009658806375227869
7,14000,-0.010363973677158356,0.009436368942260742,3.459996514720842e-05,0.0008969624759629369
8,16000,-0.006435676012188196,0.00700407475233078,-1.352804247289896e-06,0.0006477539427578449
9,18000,-0.0076787639409303665,0.005796895362436771,-8.55576217873022e-06,0.0006132743437774479
10,20000,-0.009774954058229923,0.005895956885069609,-6.564762588823214e-05,0.0007077857153490186
