epoch,step,min,max,mean,std
1,2000,-0.03862858563661575,0.02132445015013218,0.001172462827526033,0.02139556035399437
2,4000,-0.034463465213775635,0.031894758343696594,-0.0007220193510875106,0.02271246910095215
3,6000,-0.08304567635059357,0.0565432608127594,0.00046316496445797384,0.048943500965833664
4,8000,-0.046737320721149445,0.033038944005966187,-0.0016456037992611527,0.02586190588772297
5,10000,-0.006554489955306053,0.022755082696676254,0.003949976060539484,0.010210118256509304
6,12000,-0.026283210143446922,0.03950284421443939,0.00244058552198112,0.025191655382514
7,14000,-0.020827893167734146,0.014063745737075806,-0.0015718257054686546,0.011890266090631485
8,16000,-0.03493008762598038,0.03034011647105217,-0.0004994682967662811,0.027376553043723106
9,18000,-0.029072601348161697,0.023288141936063766,0.001117879874072969,0.01925959438085556
10,20000,-0.024479487910866737,0.0422789640724659,0.0009848594199866056,0.022522836923599243
