UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct,network_type,Area,Available_Networks
User_05,803.6,8.572,3.472,-85.414,0.00162,548.951,9.357,13.0,3186.9,2.68,9.0,2.54,47.15,1.69,0.0,0.0,6.309829183348595,2.790484985189286,2.639057329615259,SAT (LEO),Indoor,"NR_5G,WiFi,SAT (LEO)"
User_19,142.4,9.114,4.314,-80.743,0.00152,245.377,1.149,4.0,9.4,0.475,0.0,0.0,50.098,1.888,0.0,0.0,5.506862883146684,2.8181564117695075,1.6094379124341005,HAPS,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
User_04,0.151,44.544,37.444,-47.228,0.0,932.921,1.115,2.0,-35.9,0.0005,0.0,0.0,100.0,12.44,0.0,0.0,6.839391852210433,12.0,1.0986122886681096,NR_5G,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_05,60.7,17.28,12.58,-75.66,1.12e-05,553.358,0.505,0.2,9.4,0.202,0.0,0.0,79.031,4.257,0.0,0.0,6.317810687430185,4.950781938553527,0.1823215567939546,HAPS,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_14,1.6638,24.799,20.899,-58.001,1.33e-06,97.358,1.811,2.5,-11.1,0.006,0.0,0.0,100.0,6.954,297.8,15.9,4.588613883672374,5.876148032495832,1.252762968495368,UAV,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_07,174.6,7.462,5.862,-81.469,0.00108,296.386,1.464,1.0,9.4,0.582,0.0,0.0,55.516,2.28,0.0,0.0,5.695030958271069,2.966576244110926,0.6931471805599453,HAPS,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_06,1777.0,6.334,2.234,-87.033,0.00125,460.941,20.847,12.0,3394.3,5.92,0.0,0.0,42.82,1.42,0.0,0.0,6.135437177298975,2.903089986644508,2.5649493574615367,SAT (LEO),Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
User_10,0.402,24.683,18.433,-57.959,1e-07,460.779,1.145,0.4,-71.6,0.0013,0.0,0.0,99.51,6.14,0.0,0.0,6.135086421655142,6.999995657076895,0.3364722366212129,NR_5G,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
User_05,51.3,20.458,18.158,-74.371,1.48e-05,786.996,1.242,1.8,9.4,0.171,0.0,0.0,98.553,6.054,0.0,0.0,6.669493013702864,4.829738255260822,1.0296194171811583,HAPS,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
User_10,0.508,15.489,11.539,-62.255,1e-05,294.83,1.356,1.0,-35.9,0.0017,0.0,0.0,75.39,3.93,0.0,0.0,5.689784965012348,4.999999956570554,0.6931471805599453,NR_5G,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
User_16,99.5,5.763,1.063,-82.718,0.00132,154.357,1.463,5.0,9.4,0.332,13.0,6.627,38.721,1.187,0.0,0.0,5.045725694366873,2.879426068465139,1.791759469228055,HAPS,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
User_04,144.7,13.176,11.576,-78.012,0.000128,512.51,1.365,1.3,9.4,0.482,0.0,0.0,75.515,3.942,0.0,0.0,6.241269503375682,3.892790026959206,0.832909122935104,HAPS,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
User_20,1347.9,8.199,5.399,-85.301,0.000171,701.72,8.986,0.9,789.7,4.49,0.0,0.0,53.9,2.16,0.0,0.0,6.5549585194410565,3.767003887068112,0.6418538861723948,SAT (LEO),Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
User_06,200.4,10.827,7.627,-79.086,0.0001,359.265,1.636,0.1,9.4,0.668,0.0,0.0,61.696,2.764,0.0,0.0,5.886839871764366,3.9999999956570553,0.0953101798043248,HAPS,Desert,"UAV,HAPS,SAT (LEO)"
User_07,0.0086,60.86,58.0067,-34.14,2.5e-09,0.0,1.5,0.3618,13.7038,2.9e-05,0.0,0.0,79.3448,11.584692,0.0,0.0,0.0,8.601886308269497,0.3088073540667292,WiFi,Indoor,"NR_5G,WiFi,SAT (LEO)"
User_06,0.311,29.599,22.749,-55.6,0.0,567.358,1.481,2.8,-33.3,0.001,0.0,0.0,100.0,7.56,0.0,0.0,6.342751501867209,12.0,1.33500106673234,NR_5G,Indoor,"NR_5G,WiFi,SAT (LEO)"
User_07,2.0445,26.309,24.709,-57.045,1.37e-06,114.983,1.514,1.6,-65.5,0.007,0.0,0.0,100.0,8.213,459.3,13.8,4.753443628642474,5.863279115840437,0.9555114450274363,UAV,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_11,0.235,26.83,22.28,-57.485,0.0,555.723,1.218,1.2,-30.3,0.0008,0.0,0.0,100.0,7.41,0.0,0.0,6.32206780922735,12.0,0.7884573603642702,NR_5G,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
User_13,0.0097,8.71,3.8208,-86.29,0.0261729452,16.96,1.5,10.8371,31.3495,3.2e-05,0.0,0.0,47.2955,1.984386,0.0,0.0,2.888147062874053,1.5821474041246206,2.47123866702258,WiFi,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_16,98.7,17.456,14.356,-76.172,1.56e-05,626.704,1.558,0.2,9.4,0.329,0.0,0.0,85.245,4.821,0.0,0.0,6.442068717774108,4.806875373806149,0.1823215567939546,HAPS,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
User_07,1.5752000000000002,23.574,20.374,-57.513,1.11e-06,94.939,1.111,0.5,-142.9,0.005,0.0,0.0,100.0,6.781,343.4,18.3,4.563712572838441,5.954676629957229,0.4054651081081644,UAV,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
User_05,1221.6,8.738,3.238,-85.531,0.00126,531.644,15.144,7.0,-3855.6,4.07,0.0,0.0,46.33,1.64,0.0,0.0,6.277853283561209,2.899629454537759,2.079441541679836,SAT (LEO),Indoor,"NR_5G,WiFi,SAT (LEO)"
User_16,158.0,9.174,5.974,-80.513,0.00144,300.247,1.853,0.1,9.4,0.527,0.0,0.0,55.91,2.31,0.0,0.0,5.707930526249054,2.841637507603157,0.0953101798043248,HAPS,Maritime,"UAV,HAPS,SAT (LEO)"
User_08,113.2,12.147,7.847,-79.526,0.000112,367.39,1.355,0.2,9.4,0.377,0.0,0.0,62.465,2.826,0.0,0.0,5.909142159604484,3.950781973452189,0.1823215567939546,HAPS,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
