UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct,Area,Available_Networks
UE_000,1.8863,26.154,24.016,-56.275,1.623e-05,111.77,1.26,0.14,3.7,0.0063,0.0,0.0,100.0,7.98,171.1,10.77,UAV,4.725350346244197,4.789681453415021,0.13102826240640408,Maritime,"UAV,HAPS,SAT (LEO)"
UE_001,2.1825,24.561,22.571,-58.301,6.25e-06,105.083,1.14,0.16,94.0,0.0073,0.0,0.0,100.0,7.51,210.4,13.2,UAV,4.6642218065806516,5.204119913168813,0.1484200051182733,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
UE_002,1.7709,26.32,20.407,-58.565,6.62e-06,95.088,1.65,0.76,98.0,0.0059,0.0,0.0,100.0,6.79,372.6,12.31,UAV,4.565264438252189,5.179141944956909,0.5653138090500605,Maritime,"UAV,HAPS,SAT (LEO)"
UE_003,1.4666,30.953,28.21,-55.227,2.24e-05,131.229,1.5,1.23,76.9,0.0049,0.0,0.0,100.0,9.37,473.5,10.64,UAV,4.884535267959783,4.6497519622776915,0.8020015854720274,Highway,"NR_5G,UAV,HAPS,SAT (LEO)"
UE_004,1.1275,29.98,25.555,-55.555,2.11e-06,118.904,1.39,0.75,-48.9,0.0038,0.0,0.0,100.0,8.49,99.2,14.16,UAV,4.786691422611277,5.675717338875588,0.5596157879354227,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_005,1.5793,26.052,22.999,-56.683,7.36e-06,107.062,1.64,0.46,-62.3,0.0053,0.0,0.0,100.0,7.65,348.8,19.05,UAV,4.682705136480809,5.133122126655103,0.3784364357202451,Desert,"UAV,HAPS,SAT (LEO)"
UE_006,1.747,26.055,22.997,-56.15,1.321e-05,107.054,1.35,0.3,50.5,0.0058,0.0,0.0,100.0,7.65,246.4,18.57,UAV,4.682631102165871,4.879097149509283,0.262364264467491,Maritime,"UAV,HAPS,SAT (LEO)"
UE_007,1.1946,37.544,35.738,-51.009,9.82e-06,166.212,1.69,2.04,-53.6,0.004,0.0,0.0,100.0,11.87,444.3,10.06,UAV,5.119262468410162,5.007888467987545,1.1118575154181303,Maritime,"UAV,HAPS,SAT (LEO)"
UE_008,0.6853,38.03,33.729,-52.464,8.2e-06,156.871,1.38,1.41,72.1,0.0023,0.0,0.0,100.0,11.21,332.1,18.53,UAV,5.061778243849285,5.086186094653545,0.8796267475025635,Urban,"NR_5G,WiFi,UAV,HAPS,SAT (LEO)"
UE_009,1.7297,28.141,25.261,-57.06,2.34e-06,117.541,1.55,1.3,138.9,0.0058,0.0,0.0,100.0,8.4,492.0,17.48,UAV,4.775258892295089,5.630783956993964,0.832909122935104,Rural,"NR_5G,WiFi,HAPS,SAT (LEO),UAV"
