UE_ID,network_type,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UE_000,LEO,1084.6,8.538,5.438,-86.531,0.0001,705.041,9.231,1.5,-4191.0,3.62,0.0,0.0,54.03,2.17,6.559673309461424,3.9999999956570553,0.9162907318741551
UE_001,LEO,880.5,10.225,5.525,-83.988,0.000172,712.297,16.87,1.0,-1891.6,2.94,0.0,0.0,54.34,2.19,6.569897883471138,3.764471550567483,0.6931471805599453
UE_002,LEO,808.0,11.567,6.267,-84.517,0.000159,775.998,5.387,2.4,509.6,2.69,0.0,0.0,56.93,2.39,6.655437776361761,3.7986028729481367,1.2237754316221157
UE_003,LEO,839.2,10.978,7.778,-85.311,0.000143,912.038,11.595,2.6,-1713.6,2.8,0.0,0.0,62.22,2.81,6.81677750075841,3.8446639594979137,1.2809338454620645
UE_004,LEO,987.9,9.832,4.732,-85.384,0.00182,646.831,16.586,8.0,361.5,3.29,0.0,0.0,51.56,1.99,6.473629859868261,2.739928611776302,2.1972245773362196
UE_005,LEO,1299.7,8.994,3.894,-85.503,0.00155,580.854,22.665,10.0,3136.4,4.33,0.0,0.0,48.63,1.79,6.3662195571544995,2.8096683015495185,2.3978952727983707
UE_006,LEO,1731.3,7.355,4.355,-85.722,0.00183,616.725,23.542,11.0,1989.4,5.77,0.0,0.0,50.24,1.9,6.426043374604241,2.737548910032251,2.4849066497880004
UE_007,LEO,1793.4,8.192,4.092,-86.604,0.00162,596.083,25.956,5.0,4047.8,5.98,0.0,0.0,49.32,1.83,6.392056132204751,2.790484985189286,1.791759469228055
UE_008,LEO,1506.5,8.826,3.326,-85.087,0.00134,538.107,19.044,11.0,2722.4,5.02,0.0,0.0,46.64,1.66,6.2899140669772935,2.872895201311092,2.4849066497880004
UE_009,LEO,1111.5,8.39,5.49,-85.905,0.000164,709.337,13.41,0.3,-2787.1,3.7,0.0,0.0,54.21,2.18,6.565739505313008,3.785156149304165,0.26236426446749106
UE_010,LEO,874.0,11.279,7.179,-83.561,0.000193,857.199,12.826,3.0,1005.0,2.91,0.0,0.0,60.13,2.64,6.754836007327195,3.714442688741996,1.3862943611198906
UE_011,LEO,802.1,12.823,6.623,-84.088,0.000105,807.402,12.347,2.1,-2189.4,2.67,0.0,0.0,58.18,2.48,6.695059459549166,3.978810696793924,1.1314021114911006
UE_012,LEO,849.2,10.29,7.09,-85.355,0.000189,849.109,16.662,0.2,-1049.5,2.83,0.0,0.0,59.81,2.61,6.745364576557037,3.7235381935289014,0.18232155679395462
UE_013,LEO,1009.8,8.789,3.689,-86.205,0.00183,565.231,19.732,8.0,-3012.0,3.37,0.0,0.0,47.91,1.74,6.339002122150408,2.737548910032251,2.1972245773362196
UE_014,LEO,1304.8,8.473,2.273,-85.564,0.0015,463.571,15.699,12.0,2719.4,4.35,0.0,0.0,42.96,1.43,6.1411143991027375,2.823908740654789,2.5649493574615367
UE_015,LEO,1770.7,6.351,3.851,-86.525,0.00141,577.499,19.805,11.0,-1767.1,5.9,0.0,0.0,48.48,1.78,6.360436818023767,2.85078088703661,2.4849066497880004
UE_016,LEO,1829.9,7.599,2.699,-85.9,0.00182,492.987,24.2,12.0,-4523.5,6.1,0.0,0.0,44.45,1.52,6.202509201052182,2.739928611776302,2.5649493574615367
UE_017,LEO,1423.9,8.112,2.112,-86.644,0.00151,452.724,15.493,10.0,-3412.5,4.75,0.0,0.0,42.39,1.39,6.117489083661855,2.821023052419218,2.3978952727983707
UE_018,LEO,1087.3,9.823,6.723,-84.588,0.000101,816.274,12.249,1.7,3345.5,3.62,0.0,0.0,58.53,2.51,6.705974411951956,3.995678621917412,0.9932517730102834
UE_019,LEO,881.2,11.22,6.52,-83.49,0.0001,798.201,6.875,0.4,3446.6,2.94,0.0,0.0,57.82,2.46,6.683612478584812,3.9999999956570553,0.33647223662121295
UE_000,LEO,1103.0,8.936,5.836,-85.332,0.000187,738.768,19.353,1.4,-3627.5,3.68,0.0,0.0,55.43,2.27,6.606336623529066,3.7281583911410707,0.8754687373538999
UE_001,LEO,885.2,11.987,7.687,-84.406,0.000171,903.673,15.901,2.6,3762.9,2.95,0.0,0.0,61.91,2.78,6.807573552439119,3.767003887068112,1.2809338454620645
UE_002,LEO,819.7,11.356,6.056,-84.622,0.000154,757.662,15.465,2.8,-2332.1,2.73,0.0,0.0,56.2,2.33,6.631556355416839,3.812479276343443,1.33500106673234
UE_003,LEO,850.6,11.578,7.578,-83.711,0.000158,893.581,17.671,1.3,-2876.8,2.84,0.0,0.0,61.52,2.75,6.796355452230841,3.8013429102968783,0.832909122935104
UE_004,LEO,1026.3,10.385,6.185,-85.807,0.000143,768.896,6.842,1.1,0.0,3.42,0.0,0.0,56.65,2.37,6.646255440790575,3.8446639594979137,0.7419373447293773
UE_005,LEO,1356.0,7.367,2.067,-86.617,0.0018,449.718,9.04,13.0,4159.3,4.52,0.0,0.0,42.23,1.38,6.110841866773525,2.7447274946554194,2.639057329615259
UE_006,LEO,1797.7,7.781,5.581,-85.51,0.000128,717.027,14.985,2.4,-4620.1,5.99,0.0,0.0,54.53,2.21,6.576507172798019,3.892790026959206,1.2237754316221157
UE_007,LEO,1787.1,7.508,2.308,-86.346,0.00179,465.948,20.914,6.0,2069.5,5.96,0.0,0.0,43.08,1.43,6.14621790243273,2.7471469687774843,1.9459101490553132
UE_008,LEO,1432.7,6.98,1.18,-85.71,0.00126,393.026,19.551,9.0,4291.3,4.78,0.0,0.0,39.13,1.21,5.9764168969684155,2.899629454537759,2.302585092994046
UE_009,LEO,1073.7,8.801,6.601,-86.4,0.000154,805.382,7.158,1.3,4270.1,3.58,0.0,0.0,58.1,2.48,6.692557575639406,3.812479276343443,0.832909122935104
UE_010,LEO,870.1,10.511,5.811,-84.645,0.00013,736.605,6.801,1.3,-1387.5,2.9,0.0,0.0,55.34,2.27,6.603408450961274,3.8860566443524363,0.832909122935104
UE_011,LEO,826.8,10.39,4.49,-85.605,0.00153,627.435,14.512,7.0,454.7,2.76,0.0,0.0,50.72,1.93,6.44323260183872,2.8153085688985486,2.0794415416798357
UE_012,LEO,864.4,11.359,8.559,-84.72,0.000121,985.227,16.763,0.6,134.5,2.88,0.0,0.0,64.96,3.03,6.893886551229091,3.9172146260943395,0.4700036292457356
UE_013,LEO,1017.6,9.039,5.439,-85.08,0.000157,705.122,6.784,1.1,3947.2,3.39,0.0,0.0,54.04,2.17,6.559788027096836,3.8041003448245596,0.7419373447293773
UE_014,LEO,1361.4,9.446,4.046,-84.777,0.00111,592.541,11.076,10.0,-3732.3,4.54,0.0,0.0,49.16,1.82,6.386106293382309,2.954677020822086,2.3978952727983707
UE_015,LEO,1751.6,7.601,4.801,-86.8,0.00128,652.411,22.677,9.0,-2769.9,5.84,0.0,0.0,51.8,2.01,6.482206334042098,2.892790030012839,2.302585092994046
UE_016,LEO,1724.1,7.675,3.375,-85.663,0.00103,541.712,12.494,14.0,-4115.5,5.75,0.0,0.0,46.81,1.67,6.296578792488803,2.9871627748731826,2.70805020110221
UE_017,LEO,1432.1,6.682,0.582,-86.359,0.00179,357.48,13.548,9.0,-2503.3,4.77,0.0,0.0,37.04,1.1,5.8818728704778875,2.7471469687774843,2.302585092994046
UE_018,LEO,1067.0,8.34,5.94,-86.33,0.00018,747.65,19.113,1.5,3370.2,3.56,0.0,0.0,55.79,2.3,6.618271584583728,3.7447274924839467,0.9162907318741551
UE_019,LEO,875.7,10.665,5.365,-84.668,0.000132,698.843,5.838,1.0,271.2,2.92,0.0,0.0,53.78,2.15,6.550856024173316,3.8794260655040405,0.6931471805599453
UE_000,LEO,1076.6,9.184,6.284,-86.108,0.000194,777.52,12.178,3.0,-1467.4,3.59,0.0,0.0,56.99,2.39,6.657394681374374,3.7121982678311425,1.3862943611198906
UE_001,LEO,886.8,11.374,7.274,-83.913,0.000112,865.846,17.912,2.1,2912.3,2.96,0.0,0.0,60.46,2.66,6.76486133701276,3.950781973452189,1.1314021114911006
UE_002,LEO,810.7,12.841,6.741,-84.18,0.000153,817.828,12.405,2.6,3671.2,2.7,0.0,0.0,58.59,2.52,6.707874049587405,3.8153085663438753,1.2809338454620645
UE_003,LEO,857.9,11.814,8.914,-84.693,0.000143,1019.036,8.72,0.9,-3806.3,2.86,0.0,0.0,66.2,3.14,6.927593199773141,3.8446639594979137,0.6418538861723948
UE_004,LEO,1047.2,9.057,5.457,-86.471,0.00012,706.607,15.981,2.7,-3156.7,3.49,0.0,0.0,54.1,2.17,6.561888854831385,3.9208187503332543,1.308332819650179
UE_005,LEO,1358.8,8.156,2.856,-85.922,0.00191,504.087,15.058,12.0,-1996.6,4.53,0.0,0.0,45.0,1.55,6.224730691665065,2.7189666325248933,2.5649493574615367
UE_006,LEO,1737.7,7.338,5.038,-86.531,0.000172,671.761,25.585,1.7,-1376.8,5.79,0.0,0.0,52.63,2.07,6.511390140272302,3.764471550567483,0.9932517730102834
UE_007,LEO,1708.0,8.119,4.319,-86.641,0.00116,613.85,20.386,13.0,1452.7,5.69,0.0,0.0,50.12,1.89,6.421378335618456,2.93554201039869,2.639057329615259
UE_008,LEO,1368.3,7.819,2.519,-85.49,0.00161,480.45,17.122,8.0,-2416.7,4.56,0.0,0.0,43.82,1.48,6.176802383686293,2.7931741236984022,2.1972245773362196
UE_009,LEO,1041.2,8.593,4.793,-86.403,0.00149,651.787,14.941,12.0,-443.0,3.47,0.0,0.0,51.78,2.01,6.481250889235921,2.8268137312962534,2.5649493574615367
UE_010,LEO,873.5,12.183,8.083,-83.509,0.000142,940.394,5.823,1.8,-3670.1,2.91,0.0,0.0,63.29,2.89,6.847361755460434,3.8477116525585315,1.0296194171811583
UE_011,LEO,799.6,0.718,-5.982,-90.441,0.059,105.472,15.331,43.0,-1300.2,2.67,34.0,9.53,14.06,0.32,4.667882039784255,1.229147988350495,3.784189633918261
UE_012,LEO,862.2,9.578,5.878,-85.711,0.000143,742.333,14.748,3.0,-3777.3,2.87,0.0,0.0,55.57,2.28,6.611144127355461,3.8446639594979137,1.3862943611198906
UE_013,LEO,1045.8,10.265,4.965,-84.467,0.00165,665.791,19.972,9.0,-3002.1,3.49,0.0,0.0,52.38,2.05,6.50247665348501,2.782516055522885,2.302585092994046
UE_014,LEO,1372.5,8.403,1.803,-86.498,0.00121,432.376,16.15,7.0,-4506.8,4.57,0.0,0.0,41.31,1.33,6.0716057114729605,2.917214629324629,2.0794415416798357
UE_015,LEO,1730.6,5.857,3.157,-86.171,0.001,525.745,20.537,6.0,-3605.9,5.77,0.0,0.0,46.05,1.62,6.266716560470287,2.9999999995657056,1.9459101490553132
UE_016,LEO,1715.1,6.799,3.199,-87.3,0.00143,528.807,23.434,14.0,3988.5,5.72,0.0,0.0,46.2,1.63,6.272512789283716,2.8446639622312357,2.70805020110221
UE_017,LEO,1407.2,8.373,1.473,-85.714,0.00171,411.21,11.381,9.0,952.9,4.69,0.0,0.0,40.15,1.27,6.021532928230016,2.7670038893538726,2.302585092994046
