UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000,146.5,13.311,11.811,-77.945,0.000102,522.013,1.076,1.8,9.4,0.488,0.0,0.0,76.337,4.015,HAPS
UE_001,105.1,18.072,14.772,-75.564,1.62e-05,644.071,0.701,0.4,9.4,0.35,0.0,0.0,86.701,4.954,HAPS
UE_002,20.3,28.204,24.704,-71.398,1.7e-07,1067.487,0.935,0.2,9.4,0.068,0.0,0.0,100.0,8.211,HAPS
UE_003,145.0,7.477,5.477,-80.761,0.00106,283.316,0.967,0.1,9.4,0.483,0.0,0.0,54.17,2.179,HAPS
UE_004,59.6,23.275,19.275,-73.863,1.56e-05,834.585,1.098,1.3,9.4,0.199,0.0,0.0,100.0,6.42,HAPS
UE_005,115.7,14.117,9.217,-78.041,0.00014,419.262,1.571,0.4,9.4,0.386,0.0,0.0,67.261,3.225,HAPS
UE_006,59.6,19.404,18.304,-75.798,1.98e-05,793.196,0.797,0.3,9.4,0.199,0.0,0.0,99.063,6.102,HAPS
UE_007,168.6,9.087,5.487,-79.857,0.00138,283.636,1.724,1.2,9.4,0.562,0.0,0.0,54.203,2.182,HAPS
UE_008,127.4,12.078,8.178,-78.361,0.000168,379.724,1.15,1.5,9.4,0.425,0.0,0.0,63.623,2.921,HAPS
UE_009,132.5,14.06,12.86,-78.97,1.62e-05,564.833,1.783,1.0,9.4,0.442,0.0,0.0,80.011,4.345,HAPS
UE_010,71.7,17.028,13.428,-76.986,1.2e-05,588.233,0.778,0.3,9.4,0.239,0.0,0.0,81.999,4.525,HAPS
UE_011,79.5,18.535,14.035,-74.932,1.42e-05,613.381,0.63,1.5,9.4,0.265,0.0,0.0,84.124,4.718,HAPS
UE_012,68.5,19.029,16.629,-76.485,1.86e-05,722.163,1.357,1.0,9.4,0.228,0.0,0.0,93.202,5.555,HAPS
UE_013,120.2,11.906,9.406,-78.247,0.000146,426.55,1.101,1.1,9.4,0.401,0.0,0.0,67.92,3.281,HAPS
UE_014,127.1,12.74,8.84,-79.23,0.000138,404.794,1.347,1.0,9.4,0.424,0.0,0.0,65.941,3.114,HAPS
UE_015,108.1,14.987,12.287,-77.806,1.6e-05,541.378,0.721,0.6,9.4,0.36,0.0,0.0,78.005,4.164,HAPS
UE_016,55.1,18.44,15.64,-75.98,1.2e-05,680.467,0.367,1.0,9.4,0.184,0.0,0.0,89.74,5.234,HAPS
UE_017,36.4,27.332,24.132,-71.234,1.3e-07,1042.869,0.542,1.0,9.4,0.121,0.0,0.0,100.0,8.022,HAPS
UE_018,143.8,7.43,5.53,-81.885,0.0018,285.11,1.159,0.1,9.4,0.479,0.0,0.0,54.356,2.193,HAPS
UE_019,112.4,12.288,9.188,-78.956,0.000198,418.146,1.249,1.7,9.4,0.375,0.0,0.0,67.159,3.217,HAPS
UE_000,146.4,14.193,11.293,-78.003,0.000122,501.124,1.276,1.9,9.4,0.488,0.0,0.0,74.526,3.855,HAPS
UE_001,105.0,13.964,11.864,-77.118,0.00017,524.172,1.4,0.4,9.4,0.35,0.0,0.0,76.524,4.032,HAPS
UE_002,20.3,28.087,23.487,-71.257,1.6e-07,1015.118,0.735,0.5,9.4,0.068,0.0,0.0,100.0,7.809,HAPS
UE_003,144.9,10.881,8.281,-79.86,0.00012,383.587,1.566,1.7,9.4,0.483,0.0,0.0,63.983,2.951,HAPS
UE_004,59.8,18.45,15.65,-74.875,1.36e-05,680.89,0.999,0.9,9.4,0.199,0.0,0.0,89.776,5.238,HAPS
UE_005,115.6,10.406,7.206,-78.897,0.000146,343.867,1.471,1.1,9.4,0.385,0.0,0.0,60.222,2.645,HAPS
UE_006,59.7,19.619,17.919,-74.49,1.04e-05,776.851,1.198,1.8,9.4,0.199,0.0,0.0,97.718,5.976,HAPS
UE_007,168.8,12.119,9.419,-78.54,0.000112,427.073,2.025,0.3,9.4,0.563,0.0,0.0,67.968,3.285,HAPS
UE_008,127.4,8.603,4.603,-81.499,0.0018,254.564,1.349,4.0,9.4,0.425,0.0,0.0,51.109,1.958,HAPS
UE_009,132.3,14.433,11.633,-76.983,0.000128,514.832,0.882,1.0,9.4,0.441,0.0,0.0,75.716,3.96,HAPS
UE_010,71.6,20.29,17.49,-75.355,1.52e-05,758.624,0.977,0.4,9.4,0.239,0.0,0.0,96.215,5.836,HAPS
UE_011,79.4,19.112,15.312,-75.944,1.62e-05,666.673,1.029,1.3,9.4,0.265,0.0,0.0,88.591,5.128,HAPS
UE_012,68.3,20.053,18.453,-75.273,1.56e-05,799.571,1.055,1.0,9.4,0.228,0.0,0.0,99.587,6.151,HAPS
UE_013,120.4,10.853,7.153,-80.274,0.000112,341.936,1.303,1.5,9.4,0.401,0.0,0.0,60.035,2.63,HAPS
UE_014,126.9,12.553,9.053,-78.523,0.00011,412.953,1.546,1.1,9.4,0.423,0.0,0.0,66.687,3.177,HAPS
UE_015,107.9,17.323,15.623,-75.639,2e-05,679.742,1.419,1.5,9.4,0.36,0.0,0.0,89.68,5.229,HAPS
UE_016,55.2,23.179,19.779,-74.41,1.68e-05,856.135,0.568,2.0,9.4,0.184,0.0,0.0,100.0,6.586,HAPS
UE_017,36.4,28.53,23.53,-71.435,1.4e-07,1016.98,0.542,1.9,9.4,0.121,0.0,0.0,100.0,7.823,HAPS
UE_018,143.7,8.158,6.358,-80.921,0.000156,313.609,1.758,0.3,9.4,0.479,0.0,0.0,57.254,2.412,HAPS
UE_019,112.3,14.014,11.214,-78.093,0.000104,497.952,1.449,0.7,9.4,0.374,0.0,0.0,74.249,3.83,HAPS
UE_000,146.4,9.836,6.936,-79.582,0.000144,334.104,1.676,0.8,9.4,0.488,0.0,0.0,59.275,2.57,HAPS
UE_001,104.8,11.696,8.296,-78.652,0.000118,384.146,1.299,1.1,9.4,0.349,0.0,0.0,64.035,2.955,HAPS
UE_002,20.3,29.688,25.588,-70.956,1.6e-07,1105.549,0.435,1.3,9.4,0.068,0.0,0.0,100.0,8.504,HAPS
UE_003,144.9,11.564,9.264,-79.218,0.000162,421.076,1.866,2.0,9.4,0.483,0.0,0.0,67.425,3.239,HAPS
UE_004,60.0,18.985,16.785,-75.907,1.26e-05,728.767,0.5,0.2,9.4,0.2,0.0,0.0,93.749,5.606,HAPS
UE_005,115.5,9.335,4.335,-80.432,0.0018,246.061,1.37,7.0,9.4,0.385,0.0,0.0,50.173,1.893,HAPS
UE_006,59.9,23.955,22.855,-72.322,1.1e-07,987.976,1.199,1.2,9.4,0.2,0.0,0.0,100.0,7.6,HAPS
UE_007,168.9,12.632,10.232,-78.284,0.000146,458.85,1.426,0.5,9.4,0.563,0.0,0.0,70.811,3.53,HAPS
UE_008,127.3,15.047,11.547,-77.176,0.000126,511.37,1.149,0.1,9.4,0.424,0.0,0.0,75.416,3.934,HAPS
UE_009,132.1,8.246,6.546,-81.577,0.000106,320.221,1.281,0.5,9.4,0.44,0.0,0.0,57.911,2.463,HAPS
UE_010,71.4,17.352,13.352,-77.224,1.26e-05,585.083,1.376,1.1,9.4,0.238,0.0,0.0,81.732,4.501,HAPS
UE_011,79.2,16.568,11.668,-77.116,0.000134,516.246,1.428,0.1,9.4,0.264,0.0,0.0,75.838,3.971,HAPS
UE_012,68.1,22.558,21.158,-74.721,1.1e-07,915.129,0.554,1.4,9.4,0.227,0.0,0.0,100.0,7.039,HAPS
UE_013,120.6,11.4,7.9,-80.2,0.000134,369.354,0.904,0.5,9.4,0.402,0.0,0.0,62.65,2.841,HAPS
UE_014,126.7,10.966,6.766,-79.517,0.000138,328.042,0.945,0.4,9.4,0.422,0.0,0.0,58.682,2.523,HAPS
UE_015,107.7,14.659,12.959,-78.371,1.36e-05,568.877,1.318,1.0,9.4,0.359,0.0,0.0,80.355,4.376,HAPS
UE_016,55.4,24.199,20.299,-72.2,1.6e-07,878.357,1.069,1.8,9.4,0.185,0.0,0.0,100.0,6.757,HAPS
