UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000,0.477,12.669,7.719,-62.765,0.001,209.22,1.388,1.6,7.3,0.0016,0.0,0.0,62.02,2.79,5G_NR
UE_001,0.806,7.944,4.994,-66.228,0.001,154.187,1.371,7.0,-94.4,0.0027,0.0,0.0,52.48,2.06,5G_NR
UE_002,0.125,45.341,40.241,-46.829,0.0,1002.601,1.317,2.1,7.3,0.0004,0.0,0.0,100.0,13.37,5G_NR
UE_003,0.478,18.877,14.177,-61.261,1e-05,357.28,1.173,0.5,-87.0,0.0016,0.0,0.0,84.62,4.76,5G_NR
UE_004,0.573,19.214,14.314,-60.193,1e-05,360.56,1.312,0.3,-6.4,0.0019,0.0,0.0,85.1,4.81,5G_NR
UE_005,0.389,16.683,9.383,-61.358,0.001,245.578,1.404,0.7,-25.6,0.0013,0.0,0.0,67.84,3.27,5G_NR
UE_006,0.337,25.033,19.583,-58.184,1e-07,489.08,1.194,1.3,-16.0,0.0011,0.0,0.0,100.0,6.52,5G_NR
UE_007,0.566,15.648,10.948,-61.976,1e-05,281.138,1.342,1.6,-11.4,0.0019,0.0,0.0,73.32,3.75,5G_NR
UE_008,0.161,40.576,34.926,-50.112,0.0,870.204,1.466,0.3,17.9,0.0005,0.0,0.0,100.0,11.6,5G_NR
UE_009,0.238,31.763,25.613,-53.218,0.0,638.442,1.189,2.9,-1.8,0.0008,0.0,0.0,100.0,8.51,5G_NR
UE_010,0.449,18.432,13.732,-60.684,1e-05,346.601,1.07,2.9,-24.3,0.0015,0.0,0.0,83.06,4.62,5G_NR
UE_011,0.313,22.194,15.794,-58.503,1e-05,396.324,1.406,2.3,-74.2,0.001,0.0,0.0,90.28,5.28,5G_NR
UE_012,0.848,9.951,4.301,-66.024,0.001,141.34,1.39,3.0,-62.9,0.0028,0.0,0.0,50.05,1.88,5G_NR
UE_013,0.686,13.946,10.946,-64.027,1e-05,281.079,1.304,0.1,80.3,0.0023,0.0,0.0,73.31,3.75,5G_NR
UE_014,0.459,16.632,12.232,-61.784,1e-05,311.029,1.151,1.3,21.1,0.0015,0.0,0.0,77.81,4.15,5G_NR
UE_015,0.428,15.485,7.635,-61.558,0.001,207.426,1.528,2.7,151.6,0.0014,0.0,0.0,61.72,2.77,5G_NR
UE_016,0.986,4.947,-0.653,-67.926,0.1,67.172,1.184,29.0,-56.6,0.0033,0.0,0.0,32.71,0.9,5G_NR
UE_017,0.616,14.747,11.197,-63.527,1e-05,286.881,1.482,0.7,114.3,0.0021,0.0,0.0,74.19,3.83,5G_NR
UE_018,0.383,26.846,23.696,-57.377,0.0,590.83,1.283,0.8,-107.2,0.0013,0.0,0.0,100.0,7.88,5G_NR
