UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000000,0.0066,31.38,27.214,-63.62,5.1881e-06,9.78,1.5,0.2756,16.8949,2.2e-05,0,0,73.6706,7.703969,WiFi6_5GHz
UE_000001,0.0068,37.98,32.7803,-57.02,1.3e-09,29.74,1.5,0.0786,31.1286,2.3e-05,0,0,75.9789,11.90355,WiFi6_5GHz
UE_000002,0.001,-0.89,-9.2982,-95.89,0.0807027794,32.04,1.6084,37.1428,30.0204,3e-06,0,0,22.9812,0.60028,WiFi6_5GHz
UE_000003,0.0055,15.48,10.1337,-79.52,0.000164688,16.17,1.5,0.9894,-26.286,1.8e-05,0,0,55.9481,3.573717,WiFi6_5GHz
UE_000004,0.0037,5.84,-1.3045,-89.16,0.0016197723,16.52,1.5,25.7486,-31.1574,1.2e-05,0,0,39.4829,1.350936,WiFi6_5GHz
UE_000005,0.0013,8.26,1.5273,-86.74,0.0445643436,12.96,1.5149,12.2733,14.1129,4e-06,0,0,45.4136,1.708192,WiFi6_5GHz
UE_000006,0.0132,52.01,46.339,-42.99,4.7e-09,7.45,1.5,0.34,11.9506,4.4e-05,0,0,80.9097,11.706536,WiFi6_5GHz
UE_000007,0.0092,15.34,10.9923,-79.66,8.69152e-05,8.96,1.5,1.7656,-25.0228,3.1e-05,0,0,58.3566,3.493241,WiFi6_5GHz
UE_000008,0.0061,67.97,59.762,-27.03,2.2e-09,21.5,1.5,0.1506,-1.351,2e-05,0,0,81.2694,11.575653,WiFi6_5GHz
UE_000009,0.0092,11.32,5.9198,-83.68,0.0091824833,21.53,1.5,6.5393,31.67,3.1e-05,0,0,52.2056,2.189764,WiFi6_5GHz
UE_000010,0.0022,10.78,2.3148,-84.22,0.0181848652,15.24,1.5,5.6758,29.9571,7e-06,0,0,50.8558,1.767472,WiFi6_5GHz
UE_000011,0.0022,44.48,40.1574,-50.52,4.7e-09,19.79,1.5,0.0493,-27.3452,7e-06,0,0,80.3202,11.628333,WiFi6_5GHz
UE_000012,0.0056,54.45,48.0361,-40.55,5.8e-09,11.44,1.5,0.1433,12.0256,1.9e-05,0,0,82.1248,11.795174,WiFi6_5GHz
UE_000013,0.0099,12.34,2.9079,-82.66,0.0156097634,38.66,1.5,5.3439,20.6223,3.3e-05,0,0,54.8001,2.126441,WiFi6_5GHz
UE_000014,0.0128,45.39,39.1636,-49.61,8.5e-09,21.42,1.6209,0.3338,4.8074,4.3e-05,0,0,80.6161,12.279024,WiFi6_5GHz
UE_000015,0.007,44.78,39.7119,-50.22,6.7e-09,12.21,1.5,0.236,-31.67,2.3e-05,0,0,81.946,11.487909,WiFi6_5GHz
UE_000016,0.0093,6.24,0.2011,-88.76,0.033282618,6.32,1.5,24.6626,10.8803,3.1e-05,0,0,34.1561,1.135586,WiFi6_5GHz
UE_000017,0.0125,5.95,0.9409,-89.05,0.0151391985,24.53,1.5267,29.0768,-23.8247,4.2e-05,0,0,29.7867,1.249706,WiFi6_5GHz
UE_000018,0.0057,32.12,26.9505,-62.88,2.3796e-06,30.46,1.5099,0.2247,-0.9001,1.9e-05,0,0,78.6185,10.671954,WiFi6_5GHz
UE_000019,0.0036,18.42,10.9778,-76.58,0.0006850082,16.26,1.6219,0.8118,-16.2619,1.2e-05,0,0,61.1613,3.187788,WiFi6_5GHz
UE_000020,0.0069,3.56,-4.0406,-91.44,0.0698319842,13.54,1.5,34.3546,-9.0648,2.3e-05,0,0,27.5534,0.909385,WiFi6_5GHz
UE_000021,0.0067,42.51,38.312,-52.49,9.9e-09,20.31,1.5,0.2577,1.7647,2.2e-05,0,0,78.6252,11.585719,WiFi6_5GHz
UE_000022,0.0039,45.79,42.8073,-49.21,4.2e-09,22.94,1.5,0.3559,-15.6418,1.3e-05,0,0,81.3347,11.906719,WiFi6_5GHz
UE_000023,0.0112,43.41,37.2102,-51.59,2.5e-09,15.23,1.5,0.4238,29.2369,3.7e-05,0,0,80.2617,11.746867,WiFi6_5GHz
UE_000024,0.0039,5.81,-0.5922,-89.19,0.0211731743,14.9,1.5,32.4246,-3.7997,1.3e-05,0,0,31.53,1.272931,WiFi6_5GHz
UE_000025,0.0123,20.76,17.0901,-74.24,8.61997e-05,18.6,1.5,0.9568,23.368,4.1e-05,0,0,62.9815,4.427374,WiFi6_5GHz
UE_000026,0.0064,13.5,5.7295,-81.5,0.0463946451,10.24,1.7534,2.0633,20.0042,2.1e-05,0,0,55.7662,2.745712,WiFi6_5GHz
UE_000027,0.0047,13.82,6.4921,-81.18,0.0470302803,18.34,1.5,2.5068,-27.7586,1.6e-05,0,0,57.3126,1.96551,WiFi6_5GHz
UE_000028,0.0059,6.21,-0.8295,-88.79,0.0073548631,24.05,1.5,21.0553,-8.8853,2e-05,0,0,35.4735,1.389015,WiFi6_5GHz
UE_000029,0.0064,19.46,12.567,-75.54,0.0009594336,18.8,1.6779,1.0183,29.3956,2.1e-05,0,0,62.1279,4.493613,WiFi6_5GHz
UE_000030,0.0031,12.83,4.2127,-82.17,0.0409316861,14.67,1.5,4.5698,-9.655,1e-05,0,0,56.9568,2.506795,WiFi6_5GHz
UE_000031,0.0101,47.15,43.608,-47.85,8.6e-09,18.98,1.5,0.3307,-13.1925,3.4e-05,0,0,77.3662,11.733707,WiFi6_5GHz
UE_000032,0.0021,13.83,9.7703,-81.17,0.0276621182,7.08,1.5,2.7215,-23.6779,7e-06,0,0,53.3792,2.133036,WiFi6_5GHz
UE_000033,0.0041,12.88,4.4239,-82.12,0.0156431412,11.43,1.5,5.6731,22.3538,1.4e-05,0,0,55.0171,2.378955,WiFi6_5GHz
UE_000034,0.0053,2.18,-5.0045,-92.82,0.147270498,12.5,1.5,35.8766,3.6855,1.8e-05,0,0,21.1554,0.63747,WiFi6_5GHz
UE_000035,0.0064,-2.66,-10.1849,-97.66,0.0605327182,21.33,1.5,25.4519,20.2631,2.1e-05,0,0,29.4138,0.288359,WiFi6_5GHz
UE_000036,0.0134,3.25,-1.9164,-91.75,0.0826143953,5.84,1.5,16.6523,12.2949,4.5e-05,0,0,34.2734,0.548333,WiFi6_5GHz
UE_000037,0.0052,11.24,5.6771,-83.76,0.0431906113,13.27,1.5,2.7349,18.7459,1.7e-05,0,0,55.7599,2.314723,WiFi6_5GHz
UE_000038,0.0133,35.55,29.5338,-59.45,8e-09,13.79,1.5093,0.225,-16.0261,4.4e-05,0,0,76.0206,11.720037,WiFi6_5GHz
UE_000039,0.0037,1.45,-5.5271,-93.55,0.1499763834,10.28,1.5,17.8255,-5.7697,1.2e-05,0,0,34.9254,0.351999,WiFi6_5GHz
UE_000040,0.0102,41.54,36.5976,-53.46,1.5e-09,11.54,1.5,0.2327,-7.3154,3.4e-05,0,0,79.2603,11.665535,WiFi6_5GHz
UE_000041,0.0089,29.17,26.5803,-65.83,5.1451e-06,13.32,1.5,0.1047,24.8986,3e-05,0,0,72.9864,7.817667,WiFi6_5GHz
UE_000042,0.0033,9.59,3.3952,-85.41,0.0312153616,19.4,1.5,36.8181,-10.0543,1.1e-05,0,0,33.2549,1.728272,WiFi6_5GHz
UE_000043,0.0067,48.11,43.1771,-46.89,2.5e-09,18.78,1.5,0.0811,28.6808,2.2e-05,0,0,83.2794,11.634287,WiFi6_5GHz
UE_000044,0.0134,8.88,1.4665,-86.12,0.0217819221,26.56,1.5809,25.1234,7.8465,4.5e-05,0,0,38.385,1.737305,WiFi6_5GHz
UE_000045,0.0082,64.66,58.3738,-30.34,3.3e-09,20.11,1.5,0.3251,23.017,2.7e-05,0,0,79.5372,11.626771,WiFi6_5GHz
UE_000046,0.0097,63.36,58.1813,-31.64,1e-09,28.74,1.5,0.3277,-9.7305,3.2e-05,0,0,83.7733,11.923775,WiFi6_5GHz
UE_000047,0.0038,27.13,23.4023,-67.87,6.99e-07,19.09,1.5,0.4433,-31.67,1.3e-05,0,0,68.702,7.019546,WiFi6_5GHz
UE_000048,0.0022,-0.52,-3.4606,-95.52,0.1144598085,8.26,1.5,23.579,-10.7317,7e-06,0,0,28.4135,0.1,WiFi6_5GHz
UE_000049,0.0114,18.12,10.9539,-76.88,0.0006098995,15.99,1.5,0.6761,14.7459,3.8e-05,0,0,61.4525,3.537819,WiFi6_5GHz
UE_000050,0.0035,7.64,-0.0359,-87.36,0.0025427805,22.88,1.5,38.559,12.8895,1.2e-05,0,0,28.0372,1.030106,WiFi6_5GHz
UE_000051,0.0031,27.23,21.9058,-67.77,8.3051e-06,18.28,1.5,0.0944,-20.0058,1e-05,0,0,71.7348,6.988345,WiFi6_5GHz
UE_000052,0.0065,15.9,10.2595,-79.1,0.0002666027,7.63,1.5,0.6112,9.6786,2.2e-05,0,0,56.344,3.562201,WiFi6_5GHz
UE_000053,0.0138,5.11,2.015,-89.89,0.0070915014,25.73,1.5,16.9205,8.6287,4.6e-05,0,0,43.1347,0.995536,WiFi6_5GHz
UE_000054,0.0054,23.47,15.6397,-71.53,0.000586365,20.92,1.5,1.7643,1.5362,1.8e-05,0,0,63.1656,5.428565,WiFi6_5GHz
UE_000055,0.0061,9.17,2.4402,-85.83,0.0386905919,11.74,1.5,35.2092,-11.9477,2e-05,0,0,29.0022,1.305772,WiFi6_5GHz
UE_000056,0.0136,7.55,1.4584,-87.45,0.006635361,10.63,1.5,18.4349,-31.67,4.5e-05,0,0,37.2291,1.201093,WiFi6_5GHz
UE_000057,0.0081,47.05,40.9611,-47.95,8.8e-09,14.27,1.5,0.125,-26.302,2.7e-05,0,0,83.801,11.496735,WiFi6_5GHz
UE_000058,0.0131,35.63,28.8739,-59.37,8e-09,9.58,1.5,0.0983,-2.5875,4.4e-05,0,0,74.2683,11.696683,WiFi6_5GHz
UE_000059,0.0135,24.39,19.2333,-70.61,0.0003638617,30.13,1.5,0.5552,-24.3282,4.5e-05,0,0,66.9081,5.436361,WiFi6_5GHz
UE_000060,0.0111,33.27,25.1123,-61.73,1.1512e-06,12.05,1.5,0.1125,-16.7581,3.7e-05,0,0,72.1846,10.429233,WiFi6_5GHz
UE_000061,0.0136,51.95,45.2175,-43.05,4.2e-09,14.75,1.697,0.1909,-18.822,4.5e-05,0,0,80.6144,11.744578,WiFi6_5GHz
UE_000062,0.0043,27.5,22.4655,-67.5,5.23e-06,12.02,1.5,0.4102,9.1103,1.4e-05,0,0,69.0569,6.989641,WiFi6_5GHz
UE_000063,0.0056,-0.86,-7.5878,-95.86,0.1031780767,13.39,1.8212,18.3026,13.8279,1.9e-05,0,0,30.7528,0.413323,WiFi6_5GHz
UE_000064,0.013,15.19,7.6063,-79.81,0.0003932081,16.14,1.5,0.7666,8.3148,4.3e-05,0,0,57.284,3.059323,WiFi6_5GHz
UE_000065,0.0017,36.41,32.0389,-58.59,2.8e-09,16.15,1.5,0.0016,-1.7968,6e-06,0,0,79.8926,11.901976,WiFi6_5GHz
UE_000066,0.0086,57.68,50.5048,-37.32,7.8e-09,13.74,1.5,0.0549,27.0758,2.9e-05,0,0,77.7566,11.997506,WiFi6_5GHz
UE_000067,0.0109,30.15,25.69,-64.85,8.3615e-06,17.31,1.5,0.3616,-3.1037,3.6e-05,0,0,71.9147,7.915292,WiFi6_5GHz
UE_000068,0.0084,23.57,17.9702,-71.43,0.0006120207,9.45,1.5,1.4923,1.7846,2.8e-05,0,0,62.9749,5.463386,WiFi6_5GHz
UE_000069,0.0124,53.76,51.7338,-41.24,1.7e-09,5.08,1.5,0.206,-10.4738,4.1e-05,0,0,78.359,11.624797,WiFi6_5GHz
UE_000070,0.002,3.65,-3.276,-91.35,0.1436257717,13.14,1.5,28.6224,-1.8019,7e-06,0,0,29.0616,0.311724,WiFi6_5GHz
UE_000071,0.008,21.92,16.0957,-73.08,0.0009529299,11.48,1.5,1.7046,1.5385,2.7e-05,0,0,63.1554,5.445126,WiFi6_5GHz
UE_000072,0.0042,8.88,3.4023,-86.12,0.0214882454,7.36,1.8016,8.7675,-23.8579,1.4e-05,0,0,44.3612,1.58882,WiFi6_5GHz
UE_000073,0.0059,51.05,44.733,-43.95,4.9e-09,19.26,1.5,0.2856,-27.4391,2e-05,0,0,80.5271,11.477905,WiFi6_5GHz
UE_000074,0.0031,24.86,16.8025,-70.14,0.0002075219,19.88,1.5,0.5558,-14.9362,1e-05,0,0,66.6904,5.328831,WiFi6_5GHz
UE_000075,0.0126,14.98,7.9951,-80.02,0.0231268989,13.95,1.5,5.8508,10.4842,4.2e-05,0,0,55.9853,2.360724,WiFi6_5GHz
UE_000076,0.001,48.48,45.0698,-46.52,9.3e-09,20.26,1.5,0.2467,-21.3999,3e-06,0,0,84.063,11.806906,WiFi6_5GHz
UE_000077,0.0057,39.08,31.176,-55.92,4e-09,25.03,1.5,0.2473,-11.0567,1.9e-05,0,0,81.0277,11.561272,WiFi6_5GHz
UE_000078,0.0054,45.59,39.9333,-49.41,1e-09,14.34,1.5,0.1632,6.4611,1.8e-05,0,0,76.3806,11.706985,WiFi6_5GHz
UE_000079,0.0138,5.61,0.2207,-89.39,0.0137715942,26.83,1.5,16.9621,16.0005,4.6e-05,0,0,36.0128,1.118861,WiFi6_5GHz
UE_000080,0.0047,12.6,8.304,-82.4,0.0309741634,15.71,1.5,3.6291,-3.685,1.6e-05,0,0,56.6012,2.329407,WiFi6_5GHz
UE_000081,0.0112,23.77,18.9351,-71.23,0.0005910929,34.78,1.5,1.9754,6.7105,3.7e-05,0,0,65.3833,5.487851,WiFi6_5GHz
UE_000082,0.0057,1.51,-3.8299,-93.49,0.1277087415,23.36,1.5461,37.1857,-25.881,1.9e-05,0,0,24.3281,0.232022,WiFi6_5GHz
UE_000083,0.0112,47.54,43.0236,-47.46,1e-10,10.94,1.6654,0.153,29.1829,3.7e-05,0,0,81.2581,11.617213,WiFi6_5GHz
UE_000084,0.0015,59.62,54.8013,-35.38,3.8e-09,21.92,1.5,0.433,30.3422,5e-06,0,0,86.9366,12.048412,WiFi6_5GHz
UE_000085,0.0055,27.68,26.0352,-67.32,3.8187e-06,15.55,1.5,0.337,16.0248,1.8e-05,0,0,68.4721,7.087142,WiFi6_5GHz
UE_000086,0.0095,4.7,-1.005,-90.3,0.132122211,16.8,1.5,37.0364,-21.7463,3.2e-05,0,0,24.943,0.613,WiFi6_5GHz
UE_000087,0.0034,0.63,-4.4926,-94.37,0.1170541011,13.21,1.5,20.1285,-0.3315,1.1e-05,0,0,31.2203,0.352958,WiFi6_5GHz
UE_000088,0.0099,15.89,10.0796,-79.11,0.0006420014,22.85,1.5,0.9206,14.817,3.3e-05,0,0,59.1209,3.773407,WiFi6_5GHz
UE_000089,0.0027,52.22,44.8985,-42.78,7.8e-09,29.66,1.5078,0.1737,-6.0246,9e-06,0,0,81.9225,11.780484,WiFi6_5GHz
UE_000090,0.0128,7.15,1.788,-87.85,0.0367549899,26.64,1.5,24.0557,-17.6235,4.3e-05,0,0,37.1145,0.877559,WiFi6_5GHz
UE_000091,0.0104,71.18,64.8052,-23.82,2.6e-09,19.82,1.5586,0.1694,12.2391,3.5e-05,0,0,79.6745,11.89624,WiFi6_5GHz
UE_000092,0.0012,53.18,48.9048,-41.82,1.3e-09,13.36,1.6412,0.3967,-24.9641,4e-06,0,0,75.0445,11.928945,WiFi6_5GHz
UE_000093,0.0072,29.26,26.1601,-65.74,5.565e-07,11.89,1.5,0.364,-6.1722,2.4e-05,0,0,68.9474,7.882933,WiFi6_5GHz
UE_000094,0.0132,26.6,22.9124,-68.4,7.4939e-06,14.1,1.5,0.1708,19.0723,4.4e-05,0,0,71.9879,7.09554,WiFi6_5GHz
UE_000095,0.0112,12.21,7.5941,-82.79,0.0086787279,18.47,1.5,6.3681,-12.2223,3.7e-05,0,0,50.9585,2.373768,WiFi6_5GHz
UE_000096,0.0015,42.72,35.0724,-52.28,1.9e-09,34.81,1.5,0.1074,-10.055,5e-06,0,0,86.1141,11.576615,WiFi6_5GHz
UE_000097,0.007,60.22,54.6482,-34.78,5.6e-09,6.88,1.5,0.1791,4.4926,2.3e-05,0,0,83.6307,11.448762,WiFi6_5GHz
UE_000098,0.0024,43.87,38.6716,-51.13,1.6e-09,18.7,1.5,0.2595,4.8449,8e-06,0,0,79.5076,12.008437,WiFi6_5GHz
UE_000099,0.0024,-3.18,-10.0238,-98.18,0.1391026752,21.98,1.5,35.3548,-19.451,8e-06,0,0,24.0568,0.357611,WiFi6_5GHz
UE_000100,0.0115,45.16,40.5008,-49.84,6e-09,14.34,1.5,0.4921,27.209,3.8e-05,0,0,79.0319,11.340482,WiFi6_5GHz
UE_000101,0.0064,23.06,18.9227,-71.94,0.0002494599,12.13,1.5,1.5608,18.3767,2.1e-05,0,0,63.846,5.446415,WiFi6_5GHz
UE_000102,0.0062,12.76,8.3433,-82.24,0.0093401284,23.12,1.5,3.1649,-15.4605,2.1e-05,0,0,55.5084,2.44219,WiFi6_5GHz
UE_000103,0.0077,30.97,25.7234,-64.03,4.9334e-06,11.24,1.5,0.1651,-3.4992,2.6e-05,0,0,72.3182,8.111257,WiFi6_5GHz
UE_000104,0.0051,26.28,23.6585,-68.72,7.273e-06,17.97,1.5,0.2131,-24.5625,1.7e-05,0,0,66.0254,6.867001,WiFi6_5GHz
UE_000105,0.0116,56.55,52.3347,-38.45,8.9e-09,11.29,1.5,0.2736,-15.5734,3.9e-05,0,0,78.0964,11.710004,WiFi6_5GHz
UE_000106,0.0108,-0.86,-4.1201,-95.86,0.0694307969,9.44,1.5,21.8578,0.9304,3.6e-05,0,0,28.3684,0.489998,WiFi6_5GHz
UE_000107,0.0048,44.85,40.5042,-50.15,3e-09,22.59,1.5,0.2905,-31.67,1.6e-05,0,0,79.5327,11.64172,WiFi6_5GHz
UE_000108,0.0022,-1.16,-4.8323,-96.16,0.1472053836,18.86,1.5,11.1522,-17.1535,7e-06,0,0,37.3446,0.365808,WiFi6_5GHz
UE_000109,0.0102,18.19,15.5674,-76.81,0.0007482703,7.24,1.5,1.636,-5.848,3.4e-05,0,0,57.625,3.526181,WiFi6_5GHz
UE_000110,0.0101,48.26,45.9479,-46.74,3.1e-09,18.18,1.5,0.3867,-11.4902,3.4e-05,0,0,81.7361,11.945803,WiFi6_5GHz
UE_000111,0.0101,-4.39,-7.0439,-99.39,0.1083595673,25.38,1.6714,15.4438,19.0604,3.4e-05,0,0,38.5455,0.31979,WiFi6_5GHz
UE_000112,0.0012,36.87,33.1116,-58.13,7e-10,22.22,1.5,0.2027,31.2505,4e-06,0,0,79.3209,11.549909,WiFi6_5GHz
UE_000113,0.0091,42.3,37.4694,-52.7,2.5e-09,10.16,1.5,0.0956,2.7649,3e-05,0,0,77.6945,11.692296,WiFi6_5GHz
UE_000114,0.0088,43.39,34.6533,-51.61,6.1e-09,15.89,1.5,0.1614,24.5659,2.9e-05,0,0,81.1012,12.023768,WiFi6_5GHz
UE_000115,0.0101,50.75,44.7099,-44.25,5.5e-09,24.8,1.5,0.047,28.3836,3.4e-05,0,0,86.5063,11.611403,WiFi6_5GHz
UE_000116,0.01,52.53,47.5442,-42.47,1.4e-09,18.61,1.5,0.4158,-6.812,3.3e-05,0,0,80.5926,11.592501,WiFi6_5GHz
UE_000117,0.0109,32.2,25.1049,-62.8,6.8442e-06,16.47,1.5,0.1153,-8.6948,3.6e-05,0,0,70.8282,10.824338,WiFi6_5GHz
UE_000118,0.0047,1.96,-3.7271,-93.04,0.0655679785,9.46,1.5552,29.7214,24.7997,1.6e-05,0,0,28.7084,0.138815,WiFi6_5GHz
UE_000119,0.0134,55.14,50.6376,-39.86,6.6e-09,15.87,1.5,0.3663,25.8597,4.5e-05,0,0,80.4803,11.355934,WiFi6_5GHz
UE_000120,0.0089,10.08,6.7545,-84.92,0.003002524,10.72,1.5,6.2794,13.9252,3e-05,0,0,49.9751,1.844824,WiFi6_5GHz
UE_000121,0.0107,24.42,15.6329,-70.58,0.000443898,13.61,1.5,1.8165,-24.7287,3.6e-05,0,0,63.9842,5.525121,WiFi6_5GHz
UE_000122,0.0128,24.59,17.369,-70.41,0.0008493007,16.19,1.5,0.6474,22.3107,4.3e-05,0,0,65.7234,5.122316,WiFi6_5GHz
UE_000123,0.0032,48.61,41.7203,-46.39,9.7e-09,8.8,1.5,0.1082,-20.6448,1.1e-05,0,0,77.857,11.568368,WiFi6_5GHz
UE_000124,0.0061,36.0,32.5321,-59.0,5.1e-09,28.02,1.5,0.3243,22.6302,2e-05,0,0,77.621,11.976769,WiFi6_5GHz
UE_000125,0.0113,56.85,49.2224,-38.15,8.2e-09,22.31,1.5,0.3265,15.6393,3.8e-05,0,0,84.1703,11.373978,WiFi6_5GHz
UE_000126,0.0088,0.46,-6.7187,-94.54,0.081378156,14.66,1.5,36.9477,12.2768,2.9e-05,0,0,23.3324,0.480283,WiFi6_5GHz
UE_000127,0.0018,1.13,-3.3381,-93.87,0.0584532301,23.22,1.5,14.6835,25.4432,6e-06,0,0,38.5525,0.1,WiFi6_5GHz
UE_000128,0.0105,32.64,27.4407,-62.36,4.8351e-06,18.06,1.5,0.1412,10.0878,3.5e-05,0,0,72.7671,10.547962,WiFi6_5GHz
UE_000129,0.0015,11.37,5.7351,-83.63,0.0408116644,10.3,1.5,7.315,-19.5901,5e-06,0,0,46.413,2.442178,WiFi6_5GHz
UE_000130,0.0095,34.05,29.8913,-60.95,9.5904e-06,16.27,1.5,0.1033,14.1146,3.2e-05,0,0,74.8322,10.379889,WiFi6_5GHz
UE_000131,0.0103,16.39,12.4475,-78.61,0.0009668866,15.79,1.5,1.7222,19.8894,3.4e-05,0,0,56.327,3.60546,WiFi6_5GHz
UE_000132,0.0128,10.66,5.2049,-84.34,0.0451819971,4.2,1.5,6.2238,22.4941,4.3e-05,0,0,49.7801,1.649446,WiFi6_5GHz
UE_000133,0.0125,30.27,25.9685,-64.73,6.1613e-06,24.98,1.5,0.005,18.0841,4.2e-05,0,0,75.1476,7.594069,WiFi6_5GHz
UE_000134,0.0057,16.18,7.6187,-78.82,6.82693e-05,15.3,1.5,1.7282,-26.033,1.9e-05,0,0,58.404,3.30913,WiFi6_5GHz
UE_000135,0.0044,-2.72,-7.0048,-97.72,0.1254578947,14.42,1.5,21.9246,16.6992,1.5e-05,0,0,33.197,0.141588,WiFi6_5GHz
UE_000136,0.0074,47.02,42.6938,-47.98,1.5e-09,19.58,1.5,0.418,-16.561,2.5e-05,0,0,78.1168,11.765721,WiFi6_5GHz
UE_000137,0.0086,-6.17,-12.4997,-101.17,0.0730612629,26.07,1.5,31.2668,13.6504,2.9e-05,0,0,27.2552,0.584335,WiFi6_5GHz
UE_000138,0.0107,39.99,35.3645,-55.01,3e-10,14.56,1.5,0.1048,25.5469,3.6e-05,0,0,80.2139,11.832608,WiFi6_5GHz
UE_000139,0.0035,9.41,2.2746,-85.59,0.0105092959,17.82,1.5866,29.19,-5.0591,1.2e-05,0,0,32.4155,1.813478,WiFi6_5GHz
UE_000140,0.0012,54.61,47.4959,-40.39,3.1e-09,29.05,1.5,0.3205,6.0069,4e-06,0,0,79.5458,11.814155,WiFi6_5GHz
UE_000141,0.0026,11.11,5.2365,-83.89,0.0306797949,8.66,1.5,4.2549,-24.8356,9e-06,0,0,53.2074,2.517964,WiFi6_5GHz
UE_000142,0.0071,22.44,19.6627,-72.56,0.0009464337,10.8,1.5,0.8384,30.333,2.4e-05,0,0,64.0357,5.192398,WiFi6_5GHz
UE_000143,0.005,9.51,4.8127,-85.49,0.0487804604,10.76,1.5,29.3169,-25.972,1.7e-05,0,0,37.5402,1.685743,WiFi6_5GHz
UE_000144,0.0019,14.39,9.2464,-80.61,0.0490576191,21.18,1.5,6.3046,15.0443,6e-06,0,0,56.2945,2.030369,WiFi6_5GHz
UE_000145,0.0087,23.74,18.1949,-71.26,0.0006080377,17.83,1.5,1.2007,19.4395,2.9e-05,0,0,65.3541,5.225221,WiFi6_5GHz
UE_000146,0.007,48.66,39.9164,-46.34,3.6e-09,10.91,1.5,0.4205,28.8593,2.3e-05,0,0,79.1587,11.523499,WiFi6_5GHz
UE_000147,0.0101,5.43,-3.3375,-89.57,0.0231748555,19.11,1.5,27.6734,0.0421,3.4e-05,0,0,30.9004,1.414221,WiFi6_5GHz
UE_000148,0.0061,45.88,42.3924,-49.12,1.6e-09,17.87,1.5,0.0449,1.2947,2e-05,0,0,83.703,11.712821,WiFi6_5GHz
UE_000149,0.0069,14.77,11.4305,-80.23,0.0417368121,11.12,1.5,6.2947,-20.1542,2.3e-05,0,0,54.9211,2.52492,WiFi6_5GHz
UE_000150,0.0025,7.8,4.1719,-87.2,0.0044062618,19.61,1.5,32.1257,-8.6756,8e-06,0,0,33.8087,1.045732,WiFi6_5GHz
UE_000151,0.0093,12.89,8.4486,-82.11,0.0377941299,16.62,1.5,6.8398,31.67,3.1e-05,0,0,54.533,2.102697,WiFi6_5GHz
UE_000152,0.0036,31.71,23.5708,-63.29,9.5308e-06,24.42,1.5,0.0032,-14.4518,1.2e-05,0,0,70.2443,7.380736,WiFi6_5GHz
UE_000153,0.0132,59.57,52.8006,-35.43,6.8e-09,17.64,1.5,0.3015,-31.67,4.4e-05,0,0,79.5925,11.656702,WiFi6_5GHz
UE_000154,0.0133,13.01,5.8875,-81.99,0.0169057876,19.51,1.5,3.9437,23.6525,4.4e-05,0,0,53.6489,2.506664,WiFi6_5GHz
UE_000155,0.0102,63.45,56.1327,-31.55,2.9e-09,19.76,1.6203,0.1749,0.2543,3.4e-05,0,0,75.4146,11.53944,WiFi6_5GHz
UE_000156,0.0136,11.68,7.6659,-83.32,0.0298020267,27.97,1.5,6.0744,-0.2275,4.5e-05,0,0,55.2858,2.221505,WiFi6_5GHz
UE_000157,0.006,7.61,2.8616,-87.39,0.0239476658,11.89,1.5,13.4852,-7.3783,2e-05,0,0,44.3787,1.071458,WiFi6_5GHz
UE_000158,0.0139,2.63,-3.4248,-92.37,0.087146815,21.26,1.556,36.0003,-17.4578,4.6e-05,0,0,24.8736,0.506952,WiFi6_5GHz
UE_000159,0.0113,45.16,38.1259,-49.84,9e-09,19.25,1.5,0.4839,-14.4671,3.8e-05,0,0,80.1227,11.780024,WiFi6_5GHz
UE_000160,0.004,-1.11,-8.6933,-96.11,0.0610508175,8.41,1.5,11.7063,-4.3117,1.3e-05,0,0,36.7909,0.1,WiFi6_5GHz
UE_000161,0.0061,16.0,10.2671,-79.0,0.0003771568,26.64,1.5,1.3446,-29.3174,2e-05,0,0,59.6827,3.504247,WiFi6_5GHz
UE_000162,0.0131,14.79,10.0952,-80.21,0.0313480555,25.28,1.5,5.8043,-23.0043,4.4e-05,0,0,57.5826,2.624677,WiFi6_5GHz
UE_000163,0.0135,27.36,21.4632,-67.64,3.372e-07,10.37,1.5,0.3647,-25.4886,4.5e-05,0,0,68.9433,6.755499,WiFi6_5GHz
UE_000164,0.006,13.42,9.6059,-81.58,0.0223692177,12.67,1.5038,7.1917,-4.1886,2e-05,0,0,56.2833,2.781539,WiFi6_5GHz
UE_000165,0.0017,0.37,-5.8178,-94.63,0.0920191619,10.36,1.5,22.6338,-13.0876,6e-06,0,0,28.9142,0.595031,WiFi6_5GHz
UE_000166,0.0023,1.12,-6.3463,-93.88,0.1253142422,13.21,1.5,30.9614,22.9024,8e-06,0,0,27.145,0.342623,WiFi6_5GHz
UE_000167,0.0115,1.24,-1.5214,-93.76,0.0558126914,15.16,1.5,36.7952,-11.6191,3.8e-05,0,0,24.4426,0.374447,WiFi6_5GHz
