UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type
UE_000,1.8863,26.154,24.016,-56.275,1.623e-05,111.77,1.26,0.14,3.7,0.0063,0.0,0.0,100.0,7.98,171.1,10.77,UAV
UE_001,2.1825,24.561,22.571,-58.301,6.25e-06,105.083,1.14,0.16,94.0,0.0073,0.0,0.0,100.0,7.51,210.4,13.2,UAV
UE_002,1.7709,26.32,20.407,-58.565,6.62e-06,95.088,1.65,0.76,98.0,0.0059,0.0,0.0,100.0,6.79,372.6,12.31,UAV
UE_003,1.4666,30.953,28.21,-55.227,2.24e-05,131.229,1.5,1.23,76.9,0.0049,0.0,0.0,100.0,9.37,473.5,10.64,UAV
UE_004,1.1275,29.98,25.555,-55.555,2.11e-06,118.904,1.39,0.75,-48.9,0.0038,0.0,0.0,100.0,8.49,99.2,14.16,UAV
UE_005,1.5793,26.052,22.999,-56.683,7.36e-06,107.062,1.64,0.46,-62.3,0.0053,0.0,0.0,100.0,7.65,348.8,19.05,UAV
UE_006,1.747,26.055,22.997,-56.15,1.321e-05,107.054,1.35,0.3,50.5,0.0058,0.0,0.0,100.0,7.65,246.4,18.57,UAV
UE_007,1.1946,37.544,35.738,-51.009,9.82e-06,166.212,1.69,2.04,-53.6,0.004,0.0,0.0,100.0,11.87,444.3,10.06,UAV
UE_008,0.6853,38.03,33.729,-52.464,8.2e-06,156.871,1.38,1.41,72.1,0.0023,0.0,0.0,100.0,11.21,332.1,18.53,UAV
UE_009,1.7297,28.141,25.261,-57.06,2.34e-06,117.541,1.55,1.3,138.9,0.0058,0.0,0.0,100.0,8.4,492.0,17.48,UAV
UE_010,2.0452,23.691,21.302,-57.124,1.031e-05,99.22,1.41,1.18,5.5,0.0068,0.0,0.0,100.0,7.09,311.0,12.21,UAV
UE_011,2.0389,24.422,19.799,-59.297,1.2e-05,92.289,1.62,0.1,-78.0,0.0068,0.0,0.0,100.0,6.59,491.7,10.29,UAV
UE_012,1.5051,25.71,22.514,-56.333,1.456e-05,104.817,1.43,1.75,86.1,0.005,0.0,0.0,100.0,7.49,171.5,14.04,UAV
UE_013,2.1343,22.779,19.703,-57.637,8.96e-06,91.849,1.04,0.66,-62.0,0.0071,0.0,0.0,100.0,6.56,292.7,11.28,UAV
UE_014,1.9878,24.9,22.464,-60.17,9.22e-06,104.588,1.04,0.1,93.1,0.0066,0.0,0.0,100.0,7.47,137.7,13.94,UAV
UE_015,2.2844,21.617,20.66,-58.288,1.19e-06,96.255,1.43,0.23,34.4,0.0076,0.0,0.0,100.0,6.88,202.6,16.43,UAV
UE_016,2.5326,25.066,21.548,-58.275,6.02e-06,100.355,1.21,2.12,64.4,0.0084,0.0,0.0,100.0,7.17,286.0,10.5,UAV
UE_017,0.8439,37.147,34.306,-51.169,4.15e-06,159.553,1.35,0.17,-58.8,0.0028,0.0,0.0,100.0,11.4,301.3,13.27,UAV
UE_018,2.1513,24.413,23.381,-58.496,4.28e-06,108.832,1.24,0.21,-43.2,0.0072,0.0,0.0,100.0,7.77,178.6,17.52,UAV
UE_019,1.4081,33.859,30.567,-55.726,4.46e-06,142.176,1.49,0.2,-39.5,0.0047,0.0,0.0,100.0,10.16,412.6,10.82,UAV
UE_000,1.7,25.798,22.996,-57.262,5.04e-06,107.047,1.6,0.59,6.9,0.0057,0.0,0.0,100.0,7.65,166.3,20.0,UAV
UE_001,2.0285,23.363,21.767,-58.337,1.774e-05,101.364,1.69,0.29,126.9,0.0068,0.0,0.0,100.0,7.24,222.5,17.81,UAV
UE_002,1.6441,30.693,29.156,-54.846,4.02e-06,135.62,1.03,0.13,155.2,0.0055,0.0,0.0,100.0,9.69,430.4,19.5,UAV
UE_003,1.3711,32.689,30.682,-52.888,1.25e-05,142.709,1.61,1.15,83.2,0.0046,0.0,0.0,100.0,10.19,472.7,11.52,UAV
UE_004,1.0491,31.691,27.782,-52.752,1.502e-05,129.239,1.64,0.8,-54.1,0.0035,0.0,0.0,100.0,9.23,122.0,15.64,UAV
UE_005,1.4582,26.324,22.401,-57.332,1.023e-05,104.295,1.56,0.17,-57.8,0.0049,0.0,0.0,100.0,7.45,359.3,17.67,UAV
UE_006,1.6668,26.633,24.129,-58.234,1.69e-06,112.297,1.75,0.83,47.6,0.0056,0.0,0.0,100.0,8.02,229.9,17.48,UAV
UE_007,1.0151,35.595,31.68,-51.582,2.61e-06,147.349,1.03,0.12,-104.7,0.0034,0.0,0.0,100.0,10.52,418.6,19.65,UAV
UE_008,0.555,38.86,34.537,-49.757,1.331e-05,160.63,1.87,1.36,51.1,0.0019,0.0,0.0,100.0,11.47,257.3,13.12,UAV
UE_009,1.5981,32.894,33.434,-53.877,3.06e-06,155.499,1.08,1.82,111.0,0.0053,0.0,0.0,100.0,11.11,490.9,13.97,UAV
