UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,network_type
UE_000,0.01942,15.323,10.944,-43.223,0.0011523,5.995,1.83,0.51,1.22,6.5e-05,0.0,0.0,62.832,3.75,WiFi_6
UE_001,0.00708,30.207,28.56,-38.498,5.352e-05,15.183,2.27,0.61,12.57,2.4e-05,0.0,0.0,87.46,9.49,WiFi_6
UE_002,0.01288,22.715,16.534,-42.639,0.00015623,8.839,2.16,2.84,-6.62,4.3e-05,0.0,0.0,79.603,5.52,WiFi_6
UE_003,0.00768,34.806,29.687,-36.781,0.00021496,15.782,1.83,4.61,-11.33,2.6e-05,0.0,0.0,87.46,9.86,WiFi_6
UE_004,0.02951,13.306,8.094,-45.222,0.00101109,4.635,1.86,2.81,13.7,9.8e-05,0.0,0.0,54.281,2.9,WiFi_6
UE_005,0.00785,23.905,20.27,-40.147,6.456e-05,10.796,1.51,1.74,4.52,2.6e-05,0.0,0.0,87.46,6.75,WiFi_6
UE_006,0.02071,6.567,0.855,-46.551,0.01012208,1.838,2.08,31.13,4.2,6.9e-05,0.0,0.0,32.564,1.15,WiFi_6
UE_007,0.01645,19.788,14.524,-43.413,0.00011969,7.8,1.85,10.48,-1.74,5.5e-05,0.0,0.0,73.571,4.87,WiFi_6
UE_008,0.01737,7.005,5.096,-48.207,0.01015833,3.331,1.89,11.07,-8.09,5.8e-05,0.0,0.0,45.289,2.08,WiFi_6
UE_009,0.03321,-5.882,-9.315,-53.699,0.15008806,0.256,1.99,25.7,-12.68,0.000111,0.0,0.0,15.26,0.16,WiFi_6
UE_010,0.01982,28.081,24.597,-38.186,8.977e-05,13.082,2.1,3.92,-1.65,6.6e-05,0.0,0.0,87.46,8.18,WiFi_6
UE_011,0.01828,26.802,22.696,-38.948,9.855e-05,12.076,1.88,1.21,-0.91,6.1e-05,0.0,0.0,87.46,7.55,WiFi_6
