#{"t_start": 1788460044.9189923, "env_id": "None"}
r,l,t
-5.488635,60,2.162887
-14.173133,60,3.713593
1.997941,60,5.242124
1.104996,60,6.842619
1.308814,60,8.874063
-20.18821,60,10.70072
13.777854,60,12.92683
-5.508845,60,15.116044
12.055554,60,17.173217
10.078725,60,19.341333
4.226396,60,21.610427
19.616392,60,24.007761
20.947051,60,26.42878
17.700144,60,28.636859
11.554875,60,30.944841
10.052515,60,32.878642
13.420004,60,35.121451
19.958731,60,37.346226
6.774565,60,39.531077
19.043176,60,41.828593
23.965578,60,44.078719
1.198536,60,46.285022
14.285946,60,48.601604
24.368646,60,50.974303
17.903916,60,53.199176
16.658455,60,55.399773
21.699289,60,57.774342
25.552833,60,60.102228
16.269605,60,62.428731
19.97353,60,64.778539
30.876742,60,67.263012
32.123011,60,69.744406
34.11008,60,72.432064
31.626934,60,74.79651
33.043836,60,77.417048
30.784784,60,79.880927
35.503315,60,82.70543
35.971206,60,85.317782
38.047642,60,87.92632
36.683674,60,90.565732
38.381751,60,93.258011
42.764963,60,95.911858
41.81933,60,98.497403
38.778318,60,101.044936
40.875377,60,103.653136
40.259437,60,106.291399
42.777483,60,108.956482
43.236134,60,111.59394
38.805472,60,114.280601
43.051747,60,116.960568
36.515774,60,119.580587
43.441288,60,122.141777
45.052386,60,124.731629
38.58294,60,127.405884
40.742112,60,130.043617
38.544831,60,132.632763
41.303575,60,135.285379
43.160249,60,137.887753
47.94813,60,140.806047
38.793643,60,143.420576
38.827312,60,145.997622
41.295332,60,148.682853
44.304815,60,151.472206
39.475644,60,154.139244
43.874313,60,156.912724
39.103968,60,159.450562
41.813302,60,162.122639
42.482033,60,164.787567
45.281465,60,167.345593
40.113631,60,169.963833
40.468177,60,172.737506
38.124354,60,175.374738
40.255266,60,178.000866
45.871422,60,180.660094
39.623228,60,183.247678
40.148199,60,185.934975
41.048493,60,188.487941
42.332664,60,191.079134
42.633222,60,193.755506
39.470553,60,196.414205
41.143497,60,199.095085
43.804107,60,201.798581
44.01657,60,204.318384
43.312156,60,206.957867
42.197967,60,209.489119
37.956702,60,212.204406
42.434698,60,214.890174
46.190174,60,217.578552
46.94838,60,220.326801
41.775043,60,222.969081
39.671163,60,225.627455
41.054922,60,228.20975
41.334071,60,230.861216
38.356647,60,233.54107
44.908528,60,236.202819
39.307104,60,238.781116
40.335693,60,241.582065
42.805544,60,244.18802
39.101478,60,246.803364
44.813106,60,249.450263
38.24172,60,252.143792
42.008522,60,254.854752
44.027493,60,257.486183
41.45927,60,260.140632
43.077152,60,262.802418
40.810217,60,265.434223
39.74251,60,268.085965
42.800401,60,270.713492
44.594318,60,273.321612
38.403872,60,275.892513
44.058531,60,278.529036
39.760408,60,281.18375
39.493574,60,283.764075
36.05642,60,286.478558
46.158822,60,289.196808
37.467621,60,291.798493
40.651595,60,294.444987
40.832907,60,297.074912
45.987165,60,299.781842
42.868223,60,302.450973
46.622473,60,305.168912
47.039629,60,307.819799
44.442476,60,310.463984
36.897366,60,313.077942
38.050158,60,315.731306
45.650338,60,318.373327
42.326823,60,321.09888
41.343114,60,323.824494
48.287198,60,326.488737
40.54774,60,329.07431
46.668214,60,331.826014
40.065195,60,334.429287
37.877634,60,336.9719
46.82822,60,339.55748
43.393064,60,342.266698
40.698412,60,345.015498
45.391849,60,347.678753
41.68676,60,350.248302
39.510575,60,352.878814
42.932256,60,355.58299
37.274601,60,358.138474
36.800731,60,360.678293
44.822138,60,363.306172
40.605379,60,366.144213
42.367637,60,368.822229
36.22853,60,371.343825
38.855888,60,373.84497
45.255332,60,376.487544
45.055438,60,379.089896
37.405103,60,381.616449
45.509683,60,384.259248
43.849832,60,386.94786
39.7948,60,389.818641
33.779124,60,392.320935
43.484307,60,394.93242
39.683653,60,397.516076
36.631555,60,400.12411
41.838512,60,402.642537
42.703172,60,405.306115
48.21295,60,408.087842
38.670301,60,410.868321
39.675249,60,413.468337
38.577708,60,416.041852
39.414717,60,418.596693
45.511716,60,421.194088
46.792309,60,423.810027
39.191477,60,426.430855
37.598454,60,429.078463
44.939228,60,431.753799
44.019772,60,434.486831
45.165843,60,437.086657
47.033746,60,440.070983
44.541272,60,442.933161
41.273511,60,445.567271
39.938757,60,448.145417
39.217551,60,450.740447
43.984766,60,453.422662
43.060358,60,456.165216
43.153229,60,458.761358
44.941433,60,461.295413
37.57975,60,463.86362
42.330798,60,466.57068
43.146793,60,469.283515
40.844474,60,472.023055
41.082833,60,474.855181
43.002614,60,477.562198
47.599457,60,480.160109
42.845724,60,482.583226
46.536149,60,485.183453
40.774579,60,487.737435
43.549851,60,490.33951
44.185168,60,493.00404
45.08174,60,495.628593
39.829535,60,498.190179
39.922234,60,500.862847
43.614282,60,503.595536
37.33788,60,506.120382
43.274153,60,508.693654
44.711831,60,511.4135
40.356029,60,514.311093
37.273935,60,516.984112
45.477916,60,519.647908
37.341128,60,522.290676
43.264424,60,525.036652
40.983097,60,527.468779
38.652897,60,529.603816
36.157884,60,531.604051
40.984957,60,533.74484
42.122777,60,536.035743
41.179048,60,538.142532
44.376578,60,540.270278
42.782056,60,542.424797
39.858205,60,544.698653
41.204251,60,547.686752
38.452706,60,550.179977
38.856308,60,552.450523
37.27403,60,554.579012
42.352567,60,556.755683
40.868167,60,558.98507
43.805284,60,561.205811
40.205885,60,563.458411
46.021244,60,565.564937
43.575042,60,567.743339
43.835826,60,569.908596
42.577808,60,572.162784
44.20521,60,574.313446
41.861174,60,576.420506
38.14463,60,578.616833
44.820988,60,580.905374
42.000934,60,583.027431
44.071662,60,585.152437
42.267695,60,587.231103
41.213422,60,589.349145
43.848697,60,591.609458
40.542185,60,593.712097
39.990334,60,595.862511
36.994828,60,597.963817
43.110837,60,600.165925
36.332379,60,602.3789
42.4204,60,604.54421
38.787296,60,606.681981
40.465273,60,608.849521
44.156093,60,610.932592
36.36174,60,613.021295
41.205234,60,615.115163
43.888054,60,617.33133
40.05089,60,619.459242
42.741634,60,621.826573
42.267003,60,624.223299
45.521427,60,626.444277
40.833078,60,628.747015
46.451576,60,630.947099
44.895177,60,633.159849
38.325749,60,635.421493
40.46163,60,637.518466
36.96302,60,639.559923
36.697244,60,641.582716
40.066095,60,643.768409
39.720378,60,645.904543
40.896521,60,647.937845
44.440109,60,650.116484
42.617061,60,652.337726
36.838441,60,654.396885
40.596009,60,656.618885
41.984333,60,658.816257
42.313257,60,660.899688
37.382723,60,662.988913
43.00042,60,665.077828
39.787135,60,667.237486
40.571032,60,669.450066
43.633502,60,671.52228
42.970784,60,673.61095
42.261949,60,675.709693
34.961133,60,677.740977
39.797254,60,679.939418
45.599455,60,682.136657
35.19653,60,684.261224
42.616934,60,686.409515
40.133274,60,688.510073
43.549578,60,690.749228
44.080478,60,692.966452
45.543028,60,694.982955
38.09884,60,697.050491
44.188775,60,699.146759
42.202612,60,701.375087
43.413593,60,703.468667
44.615519,60,705.628861
41.89567,60,707.73006
40.409975,60,709.861414
43.781091,60,712.027271
39.209854,60,714.200762
45.449838,60,716.352103
42.39317,60,718.563091
34.312187,60,720.607981
42.101362,60,722.783126
41.376294,60,724.993708
43.039687,60,727.173577
41.855399,60,729.361233
42.598952,60,731.432453
37.810016,60,733.620062
40.363983,60,735.892847
43.907255,60,738.013753
42.090556,60,740.447201
40.345986,60,742.586216
42.423211,60,744.710129
36.269799,60,746.810547
47.245714,60,748.988179
37.789493,60,751.102636
41.636268,60,753.571497
43.756847,60,756.013988
44.610626,60,758.360851
41.25579,60,760.446644
44.642698,60,762.567427
38.574068,60,764.674903
33.998494,60,766.820483
44.33977,60,769.101195
40.443888,60,771.217657
37.667611,60,773.322412
40.171848,60,775.431863
42.279988,60,777.676889
37.764232,60,779.950022
37.127134,60,782.110907
39.579021,60,784.397223
47.357935,60,786.704065
38.928847,60,788.867275
42.739868,60,790.976084
40.963883,60,793.064693
46.479458,60,795.221865
39.902006,60,797.503684
39.047641,60,799.600251
39.475935,60,801.807493
43.281742,60,804.007617
40.185108,60,806.205246
43.814733,60,808.29292
45.676244,60,810.411572
38.405615,60,812.792644
38.145516,60,815.163694
40.989172,60,817.281615
41.102203,60,819.522932
40.531233,60,821.701311
43.816114,60,823.937086
42.099911,60,826.135702
40.762417,60,828.386142
39.548176,60,830.713246
41.938052,60,832.857871
40.378975,60,835.075939
37.223983,60,837.261955
38.93397,60,839.404724
41.297576,60,841.541766
41.372848,60,843.681741
45.558759,60,845.970129
37.543246,60,848.09792
45.910173,60,850.182214
39.613522,60,852.30987
41.303888,60,854.466963
36.010285,60,856.619191
35.601223,60,858.819546
35.675724,60,860.91176
39.863002,60,863.211774
39.313527,60,865.356347
43.624312,60,867.462376
38.069613,60,869.561302
44.082738,60,871.855911
42.009873,60,873.99638
40.425045,60,876.097186
40.51164,60,878.28785
43.346259,60,880.596164
35.649169,60,882.722692
37.72305,60,884.861584
48.792104,60,886.957599
43.229339,60,889.298771
35.87073,60,891.940957
42.44775,60,894.106495
45.237552,60,896.509555
41.458153,60,898.716622
40.101655,60,900.913384
41.560364,60,903.096692
42.971236,60,905.232202
41.235082,60,907.278317
39.304742,60,909.343837
44.20403,60,911.641671
36.701751,60,913.834123
41.83776,60,916.036565
38.176978,60,918.193563
40.716494,60,920.361137
36.546273,60,922.635093
35.490001,60,925.067144
38.974422,60,927.180235
42.970168,60,929.327125
40.73285,60,931.422997
42.883628,60,933.815812
41.18709,60,935.952743
42.605877,60,938.117911
41.648093,60,940.249704
40.366392,60,942.401077
43.395931,60,944.635056
46.400269,60,946.707424
39.765672,60,948.813112
43.684588,60,950.946706
42.346708,60,953.078714
38.347306,60,955.177293
38.457591,60,957.437094
39.373098,60,959.473407
42.103285,60,961.621719
39.68396,60,963.831056
47.491765,60,965.94593
39.618774,60,968.194067
47.655867,60,970.372872
41.128337,60,972.538242
42.791215,60,974.666939
44.953373,60,976.876105
37.261381,60,979.085162
39.587353,60,981.230021
41.304238,60,983.35666
32.418496,60,985.409824
36.590453,60,987.555954
