#{"t_start": 1788454819.4063385, "env_id": "None"}
r,l,t
-6.837262,60,2.685187
2.312328,60,5.078436
-6.889894,60,7.866796
-1.914901,60,10.444954
1.419932,60,13.107015
4.45316,60,15.662004
-5.284844,60,18.478019
13.089579,60,20.826867
4.441375,60,23.816955
0.267834,60,26.10711
-3.346716,60,28.678719
15.281803,60,31.091661
10.032738,60,33.644834
14.233045,60,36.10761
15.659037,60,38.498166
1.591941,60,41.02269
6.039364,60,43.357387
10.087665,60,46.802009
17.980403,60,49.551214
4.765087,60,51.951885
11.508765,60,54.407196
10.598855,60,57.00531
2.84332,60,59.664741
12.75838,60,62.326542
8.822012,60,64.92236
-5.262272,60,68.243737
16.031986,60,71.074032
21.234283,60,73.9346
26.220245,60,76.892408
19.506675,60,79.712105
25.982748,60,82.484533
5.810283,60,85.559423
10.142625,60,88.314745
10.857003,60,91.185708
19.786618,60,94.900491
15.49054,60,97.667884
24.33232,60,100.644947
15.514962,60,103.415689
22.873886,60,106.449379
23.864031,60,109.393
21.43789,60,112.283814
16.431943,60,115.005004
21.744065,60,118.690333
30.881833,60,121.679321
24.161925,60,124.627962
19.602934,60,127.530005
25.135224,60,130.64319
14.9763,60,133.45278
30.844288,60,136.272153
23.545397,60,139.048458
21.225544,60,141.974238
26.028886,60,145.477523
29.981626,60,148.167201
29.500159,60,150.80413
24.659252,60,153.736613
24.107709,60,156.435433
20.889734,60,159.025427
29.353146,60,161.646435
17.061885,60,164.289284
35.648278,60,167.542534
17.001463,60,170.064086
26.231533,60,172.879815
22.397857,60,175.772786
27.005763,60,178.471917
32.256498,60,181.219994
26.24347,60,183.994178
29.057644,60,186.697886
27.882038,60,189.405965
36.790748,60,192.728719
28.133076,60,195.475144
33.465,60,198.486507
27.756791,60,201.108551
29.65637,60,204.018437
35.559998,60,206.958577
23.376846,60,210.049328
27.662033,60,213.034583
16.85657,60,216.355779
30.184734,60,219.123067
35.989893,60,222.183448
26.201765,60,225.037793
25.842505,60,227.708023
37.31379,60,230.522929
32.211104,60,233.327472
30.647815,60,236.105662
20.802652,60,238.732832
37.891654,60,242.540146
24.317351,60,245.339537
37.609009,60,248.112639
30.537137,60,250.866279
37.33077,60,253.754641
42.683892,60,256.559895
35.061944,60,259.283383
30.276886,60,262.046001
37.078294,60,265.910015
38.021655,60,268.77076
31.78058,60,271.867587
30.902301,60,274.854061
34.207077,60,277.824491
35.085889,60,280.685715
32.458466,60,283.700933
37.795257,60,286.846721
34.817981,60,289.969682
37.123117,60,293.742672
40.413819,60,296.842888
37.13759,60,299.742397
26.153086,60,302.509614
37.841707,60,305.333016
41.035213,60,308.146346
31.206417,60,311.001268
31.431789,60,313.717074
35.5217,60,317.381591
44.0928,60,320.216403
37.545823,60,323.368756
27.793113,60,326.357986
35.311145,60,329.357883
26.101888,60,332.121642
