#{"t_start": 1788432848.0012517, "env_id": "None"}
r,l,t
13.130148,60,1.538617
5.385127,60,2.824601
11.899383,60,3.903888
3.121688,60,5.022253
14.061576,60,6.502063
-3.384429,60,8.188179
0.315426,60,10.13995
0.381229,60,11.950275
0.415876,60,14.252129
3.08882,60,16.067733
16.745111,60,18.473168
7.440836,60,20.282063
17.417345,60,22.163037
16.017102,60,24.189991
14.600705,60,26.175949
21.953353,60,28.080001
-13.40035,60,29.834019
26.902725,60,31.830953
18.193565,60,33.487719
18.803531,60,35.469563
16.885821,60,37.475515
19.200546,60,39.251794
28.771227,60,41.220766
29.010319,60,43.439589
13.655041,60,45.597918
32.296166,60,47.924904
18.143,60,49.647751
16.748473,60,51.473549
33.953665,60,53.38125
27.71111,60,55.414593
26.583029,60,57.441659
26.659257,60,59.538682
34.934504,60,61.919259
29.892528,60,64.414201
36.435388,60,66.928436
35.994878,60,69.294873
39.44221,60,71.340687
37.39796,60,73.489309
43.154288,60,75.475099
34.737149,60,77.560602
43.221189,60,79.527439
42.897115,60,81.805324
40.807651,60,84.503232
43.647058,60,86.911021
45.225477,60,89.520766
41.986268,60,91.62303
44.725787,60,93.718672
44.291218,60,96.434574
40.568305,60,99.143712
45.308439,60,101.628498
42.891843,60,103.856693
39.706284,60,106.291189
40.553346,60,109.053306
42.17689,60,111.59421
44.401648,60,113.879055
40.228176,60,116.298487
44.990265,60,118.702673
44.159353,60,120.96973
47.70757,60,123.355683
41.534193,60,125.791246
38.329387,60,128.374315
49.129047,60,131.258655
44.262994,60,133.86913
44.795342,60,136.469141
45.776921,60,138.685977
42.08161,60,140.985052
40.956231,60,143.284681
46.751185,60,145.775652
46.385059,60,148.569351
43.943124,60,151.435312
47.095806,60,154.188104
45.4516,60,156.681238
42.284668,60,159.088212
41.870112,60,161.502244
43.806469,60,164.084046
41.952937,60,166.67436
46.886793,60,169.764543
50.601068,60,172.692388
45.935273,60,175.318391
42.34081,60,177.239423
44.05349,60,179.255185
44.423336,60,181.27782
45.734015,60,183.257238
42.576007,60,185.489833
43.594829,60,187.846029
43.61691,60,190.121544
44.922389,60,192.6688
45.107536,60,195.13731
42.526687,60,197.500573
48.916322,60,199.582164
45.652301,60,201.638822
48.118727,60,203.600581
44.748313,60,205.739778
49.413593,60,207.725092
42.77852,60,209.951295
46.176863,60,212.278283
44.918621,60,214.593137
41.299955,60,216.779
43.701693,60,218.355059
45.108593,60,220.097658
45.524242,60,221.756436
46.123781,60,223.389047
43.932103,60,225.085258
41.625254,60,226.729033
42.105552,60,228.496266
41.620758,60,230.236401
41.093484,60,232.092808
41.926537,60,234.268634
47.097602,60,236.577735
42.084301,60,238.296196
45.064539,60,239.94054
45.794597,60,241.753633
38.785274,60,243.251645
41.094835,60,244.780095
45.482155,60,246.580287
44.312085,60,248.156094
44.806587,60,249.743129
41.887876,60,251.356264
48.098725,60,253.55264
46.278688,60,255.532094
49.704961,60,257.73262
43.01247,60,260.175302
45.62861,60,262.06665
42.735585,60,263.89747
39.509127,60,265.506857
48.448835,60,267.265404
43.115696,60,268.902418
44.744527,60,270.690049
47.499813,60,272.660705
44.732656,60,274.676313
42.758296,60,276.862128
46.875821,60,279.115899
43.070606,60,281.869561
46.326402,60,283.742799
46.492183,60,286.135621
44.761044,60,288.006623
44.217709,60,290.025023
43.781475,60,291.967807
40.783313,60,293.833473
46.264426,60,295.881979
46.978283,60,298.197211
43.035892,60,300.369895
41.464697,60,302.400624
44.308121,60,304.438449
46.346602,60,306.625283
41.75271,60,309.070303
43.651354,60,311.203914
45.125829,60,313.355587
42.391086,60,315.458364
41.457027,60,317.481023
43.960537,60,319.719152
45.444904,60,321.958737
42.460016,60,324.099479
42.685409,60,326.070942
45.924035,60,328.107082
46.249956,60,330.166404
43.923044,60,332.133679
41.313043,60,334.316076
47.989969,60,336.9571
46.237472,60,339.174212
47.234039,60,341.549676
42.382303,60,343.760994
42.749192,60,345.853525
40.188823,60,347.975537
41.339947,60,350.01019
45.308911,60,352.177224
51.784104,60,354.092119
45.069287,60,356.055756
40.885631,60,358.184175
45.097523,60,360.254273
39.920374,60,362.828472
43.082752,60,365.682825
44.475665,60,367.932512
47.28593,60,369.763438
42.442562,60,371.616739
41.127579,60,373.451445
44.990288,60,375.928014
46.05771,60,378.220875
41.129687,60,380.304174
43.849684,60,382.947603
41.267697,60,385.636433
42.431071,60,387.561235
44.90854,60,389.699408
43.634726,60,391.897913
42.367092,60,394.175958
44.226577,60,396.619044
45.099802,60,398.530082
39.554015,60,400.262928
45.014909,60,402.205688
39.962743,60,404.053918
39.253879,60,406.177301
41.105431,60,408.339361
43.08161,60,410.408223
44.974563,60,412.32681
40.004228,60,414.062108
44.899311,60,415.948913
43.599045,60,418.161826
50.366288,60,420.29536
43.812109,60,422.684602
46.064323,60,425.02265
41.356513,60,427.493497
38.45312,60,429.805754
38.285451,60,432.403524
43.183385,60,434.431922
41.321927,60,436.965204
44.677531,60,439.119383
39.177745,60,440.742608
51.350938,60,442.653919
40.323821,60,444.665772
44.511377,60,446.717161
47.228747,60,448.879066
43.602152,60,450.584626
44.533254,60,452.407974
43.296644,60,454.061283
43.584502,60,456.411732
45.96761,60,458.239934
42.113918,60,459.93589
46.093476,60,461.567224
48.837726,60,463.209849
43.499066,60,465.251506
43.930091,60,467.323555
46.229223,60,469.598122
45.434911,60,471.356078
48.476675,60,473.040763
38.79249,60,474.836877
45.714107,60,476.544425
44.609878,60,478.198895
41.477337,60,480.00913
45.935358,60,481.722235
41.370639,60,483.384857
40.938043,60,485.066803
45.029697,60,487.246702
44.84718,60,489.357982
45.372375,60,491.440247
41.710159,60,493.216157
46.076724,60,495.200296
40.218146,60,497.40662
44.669452,60,499.286709
39.333666,60,501.445543
44.602695,60,503.409873
46.210487,60,505.131849
44.360426,60,507.036859
43.81329,60,508.991846
44.784892,60,511.239302
41.300773,60,513.424218
48.128963,60,515.141784
44.43745,60,516.915757
42.985068,60,518.873772
41.221429,60,520.970889
50.069823,60,523.059715
51.483516,60,525.037687
46.711265,60,526.77258
46.416642,60,528.785403
43.839134,60,530.974015
39.367469,60,533.101662
45.804063,60,535.137442
45.790187,60,537.27942
48.754238,60,539.06208
46.67925,60,541.003618
44.081635,60,542.713953
46.988062,60,544.55601
43.939406,60,546.249088
40.814794,60,547.870366
45.354914,60,549.822899
43.217292,60,551.927129
45.230902,60,553.893577
44.442446,60,555.853259
46.990595,60,557.520354
39.671916,60,559.221698
46.38175,60,561.3301
40.759702,60,563.04305
44.529946,60,565.228576
47.027705,60,566.790052
41.428817,60,568.487022
44.730205,60,570.158279
45.554766,60,571.843256
39.774915,60,573.712642
47.358924,60,575.522328
47.974638,60,577.35056
42.689387,60,579.041034
41.966694,60,580.56373
40.918824,60,582.111612
38.250079,60,583.748762
44.279976,60,585.490965
42.080838,60,587.102689
47.54367,60,588.87518
51.659742,60,590.466928
45.721669,60,592.319229
42.174335,60,594.310957
44.640214,60,596.561056
40.544912,60,598.392553
43.191517,60,600.048521
43.170497,60,601.677238
42.048543,60,603.268518
43.828119,60,604.888019
41.664407,60,606.699101
45.60779,60,608.422182
45.257174,60,610.09164
43.48465,60,611.761684
43.164984,60,613.654621
46.508593,60,615.603571
48.521672,60,617.780586
46.857814,60,619.700952
39.455676,60,621.306391
45.066327,60,622.958804
39.129842,60,624.596151
48.468784,60,626.293785
42.195861,60,628.099785
45.393804,60,629.8239
47.931979,60,631.306244
44.729088,60,632.974545
46.40851,60,635.177215
45.182746,60,637.44854
43.882799,60,639.413331
43.376292,60,641.325486
43.204954,60,642.934307
42.620325,60,644.607207
40.403016,60,646.171726
46.434212,60,647.821547
46.981539,60,649.655945
44.684167,60,651.411603
44.763473,60,652.976556
44.978101,60,654.637354
46.799803,60,656.606977
44.854915,60,658.491365
40.516216,60,660.411308
42.686535,60,662.561645
43.141622,60,664.17963
43.043553,60,665.787296
44.597177,60,667.431511
48.434381,60,669.040286
45.807606,60,670.795741
48.162365,60,672.321285
39.891547,60,674.118619
48.104513,60,675.662077
48.054459,60,677.368901
47.020331,60,679.084576
46.31046,60,680.782087
43.177558,60,682.624094
42.600762,60,684.366368
45.337934,60,685.927205
45.972394,60,687.481385
44.708431,60,689.045235
46.909395,60,690.654999
45.831195,60,692.211724
45.676435,60,693.819326
48.807273,60,695.509116
40.314725,60,697.311165
43.967446,60,699.260799
47.416804,60,701.332306
47.288637,60,703.357524
45.10575,60,705.031632
44.733532,60,706.855977
41.829478,60,708.419143
45.518332,60,710.197574
43.388856,60,712.049384
42.192755,60,713.878253
43.747759,60,715.574648
52.422811,60,717.474007
45.792094,60,719.567024
39.997136,60,721.74233
40.599094,60,723.923504
46.099214,60,725.902388
40.804354,60,727.699626
42.384314,60,729.7553
47.888298,60,731.500347
48.588153,60,733.343541
42.983796,60,735.325741
46.705268,60,737.097606
45.166315,60,738.819979
44.096373,60,740.920183
38.422618,60,742.5217
45.529945,60,744.293389
45.918714,60,746.205949
43.000917,60,748.270876
46.34424,60,750.323337
48.01479,60,752.302577
40.773061,60,753.988115
43.026697,60,755.613972
44.844564,60,757.344115
48.651437,60,759.032879
44.966068,60,760.581942
44.839975,60,762.920996
44.505961,60,764.780384
42.827489,60,766.858234
42.902055,60,769.117619
40.664649,60,770.706487
44.459495,60,772.507216
46.330137,60,774.379461
51.267409,60,776.038235
47.535786,60,777.88398
45.491942,60,779.667172
43.79852,60,781.306582
44.970122,60,782.909607
43.343804,60,784.695868
44.118629,60,786.60611
45.293052,60,788.276776
43.689738,60,789.939135
41.702129,60,791.530448
46.136153,60,793.242697
43.674808,60,794.833993
43.80012,60,796.561162
47.222283,60,798.25329
46.779161,60,799.889138
46.472685,60,801.464631
43.343199,60,803.26687
37.514696,60,805.259437
45.340867,60,807.512502
44.375347,60,809.51413
45.668931,60,811.20722
45.730744,60,812.89453
46.709968,60,814.491234
47.930784,60,816.267302
49.025708,60,818.014679
40.330873,60,819.720404
41.937707,60,821.327155
