#{"t_start": 1788429952.864276, "env_id": "None"}
r,l,t
-2.445798,60,1.080959
0.135685,60,2.136072
11.215821,60,3.667857
-13.1134,60,4.655319
9.134062,60,6.036434
-6.853216,60,7.333147
5.984295,60,8.722917
0.589544,60,10.497023
3.49136,60,12.841202
9.235615,60,14.534589
17.731686,60,16.777495
-8.056289,60,17.986467
-2.604451,60,19.662056
9.999891,60,21.629695
4.40153,60,23.073406
17.788655,60,24.416802
7.509818,60,26.119308
10.344081,60,28.3491
10.665425,60,29.896059
3.402465,60,31.92812
21.378449,60,33.940725
5.809448,60,35.518294
12.919299,60,37.354108
18.146636,60,38.648338
16.950684,60,40.039544
8.56399,60,41.975373
3.427596,60,43.712442
18.987027,60,45.259494
29.207104,60,47.016308
26.005623,60,48.492025
16.257368,60,49.940628
13.974971,60,51.446743
22.274607,60,53.212747
18.409519,60,55.562916
27.279755,60,58.702731
26.824722,60,60.162122
19.560059,60,61.553895
20.758724,60,62.919755
20.188642,60,64.328643
16.729393,60,66.141907
19.53848,60,67.954151
24.192888,60,70.003564
18.194735,60,72.066008
22.799402,60,74.289412
21.727777,60,76.327507
16.97584,60,78.376565
25.596358,60,80.223631
29.33653,60,82.352082
29.27529,60,84.121928
31.052089,60,85.91113
25.131789,60,87.411201
30.191209,60,89.617065
22.453234,60,91.161092
29.675779,60,92.626234
28.281456,60,94.595636
26.11202,60,96.570092
29.527714,60,99.147767
26.21865,60,101.377016
26.562112,60,102.951079
30.190353,60,104.957388
28.087757,60,106.581731
19.957672,60,108.12201
35.294297,60,109.77974
24.959428,60,111.580371
30.020849,60,113.049881
31.883112,60,114.596184
32.949921,60,116.346992
17.112653,60,118.154724
23.984388,60,120.746581
31.315649,60,122.705377
34.229512,60,124.325134
30.248369,60,126.119736
29.141197,60,127.941269
30.83035,60,129.65628
34.621716,60,131.476387
38.498258,60,133.143533
27.858301,60,134.945571
35.77467,60,136.689416
28.286063,60,138.506624
22.563465,60,140.423157
38.203713,60,142.491145
27.823763,60,144.3675
33.320573,60,146.079887
26.13902,60,147.6235
33.394332,60,149.061644
39.430063,60,151.395764
33.236678,60,153.336462
40.651258,60,155.361315
35.563893,60,157.017097
37.044304,60,159.334873
40.311198,60,161.355967
44.467729,60,164.043333
36.912917,60,166.040192
41.333485,60,168.24822
33.684008,60,170.063707
31.856459,60,171.80154
30.098221,60,173.40487
36.316458,60,175.313606
39.333114,60,177.329985
31.648401,60,179.340332
35.74325,60,181.636504
32.952309,60,183.670047
37.940808,60,186.34158
43.583839,60,188.239113
29.626498,60,189.77492
26.266748,60,191.494643
28.039913,60,193.026124
34.386178,60,194.89026
43.743695,60,196.555405
40.336582,60,198.246747
36.618413,60,200.43917
39.661904,60,202.545412
41.053101,60,204.478777
39.921973,60,206.647767
42.569846,60,208.374159
41.356586,60,210.038076
42.891726,60,211.6092
30.446283,60,213.254407
38.898148,60,214.711053
34.717511,60,216.901631
47.304528,60,218.646788
39.54751,60,220.759701
43.853456,60,222.913703
38.822151,60,225.012068
33.895928,60,227.195492
39.617246,60,229.294253
45.387398,60,231.525466
38.407465,60,233.536782
44.277502,60,235.708766
43.13633,60,237.853038
40.351247,60,239.644248
48.436746,60,241.451107
39.056269,60,243.299453
43.750627,60,245.226198
48.909796,60,246.921197
42.923394,60,248.949735
44.141378,60,251.195069
34.668226,60,252.94435
35.803259,60,254.651181
40.965083,60,256.434877
48.942936,60,258.202145
44.135499,60,260.149143
38.533894,60,262.013916
42.212623,60,264.143
45.626377,60,266.515484
38.440868,60,269.499086
43.800883,60,271.662961
35.431891,60,274.303859
41.551014,60,276.524861
45.798267,60,278.768768
45.599239,60,280.607317
41.203346,60,282.35466
46.162086,60,284.714812
40.750824,60,287.395629
42.118189,60,289.924969
43.115702,60,291.735307
45.426087,60,293.794598
35.009243,60,296.356546
44.695804,60,298.31322
43.298592,60,300.072729
40.733245,60,302.181139
41.048734,60,304.366471
43.384314,60,306.949592
43.851698,60,309.682064
33.805394,60,311.899612
44.783467,60,314.033575
51.979731,60,316.088566
40.766201,60,318.382693
41.213336,60,320.06729
33.653615,60,321.548471
35.547565,60,323.749467
44.985218,60,325.423218
43.042647,60,327.176414
46.58582,60,328.870118
41.951772,60,330.524745
42.078284,60,332.103508
45.071322,60,334.179558
44.967228,60,336.124671
39.166606,60,337.740086
44.509628,60,339.980542
37.251684,60,341.558379
46.194096,60,343.589132
46.10316,60,345.614059
45.079186,60,347.511519
42.815275,60,349.521027
37.756769,60,352.731474
41.567404,60,355.156131
34.081611,60,357.499538
45.277304,60,359.365324
38.696458,60,361.137757
52.759618,60,363.344342
35.23935,60,365.174422
45.909536,60,366.789751
46.28447,60,368.498229
37.006928,60,370.257685
40.596266,60,372.247178
46.079244,60,375.718751
51.26009,60,377.823436
46.558404,60,379.549397
45.875171,60,381.237888
44.937597,60,383.002096
30.376515,60,384.937736
41.711071,60,386.902698
42.761814,60,388.626716
42.100434,60,391.47872
44.511401,60,393.752997
39.324722,60,396.002739
49.322225,60,398.338652
41.398744,60,400.01729
47.680911,60,401.721223
49.397961,60,403.470374
43.563254,60,405.306803
42.846338,60,407.584394
40.226231,60,410.166423
46.306576,60,411.916445
47.856504,60,414.00352
45.758007,60,416.502069
45.108712,60,419.53337
54.038283,60,421.640574
44.988605,60,423.662701
43.689372,60,425.8075
48.235285,60,428.121504
43.621013,60,429.98479
50.879236,60,431.79543
40.533941,60,433.662553
42.662193,60,435.842121
47.886851,60,438.107146
36.853083,60,440.441473
46.69189,60,442.352108
47.98421,60,444.124283
40.846621,60,446.410017
44.276984,60,448.237918
44.37606,60,450.272113
45.39076,60,452.197519
42.274491,60,454.236417
43.294898,60,456.199713
47.769613,60,458.181023
45.387748,60,459.975294
46.717296,60,463.178413
48.634969,60,465.283216
48.093859,60,467.134392
43.907696,60,468.835884
44.164428,60,470.884583
46.565163,60,472.697615
44.54353,60,474.761104
47.290368,60,477.116184
46.921547,60,479.758111
42.75085,60,483.407902
40.64592,60,485.557574
49.189184,60,487.527724
51.432348,60,490.103755
47.951177,60,492.198637
46.274626,60,494.52713
47.22286,60,496.598451
42.303917,60,499.944083
41.001412,60,501.877813
48.966402,60,504.756897
49.533182,60,506.528724
44.247429,60,508.434694
45.018688,60,510.973552
47.691255,60,513.155084
45.054429,60,515.90027
45.616233,60,517.752781
44.545101,60,519.998148
45.886304,60,522.849834
