#{"t_start": 1788526187.1768005, "env_id": "None"}
r,l,t
-8.713121,60,5.01994
15.204493,60,7.751476
0.814353,60,8.953098
10.961704,60,10.914011
-9.365212,60,13.629634
-0.843058,60,16.982942
2.131718,60,20.705275
8.928889,60,23.956944
-5.931594,60,26.171456
6.843786,60,29.399843
-0.157958,60,31.668448
16.713707,60,33.819308
9.515971,60,36.147669
-8.076295,60,39.442624
-2.538688,60,43.659447
13.344074,60,46.30092
2.447211,60,48.694932
18.670763,60,53.308663
16.322064,60,55.668533
-13.932784,60,58.867549
4.342909,60,61.800676
28.197793,60,64.216012
21.658681,60,67.914715
24.607225,60,70.709678
18.816916,60,73.833405
24.142939,60,76.681288
20.769276,60,79.547393
3.099714,60,81.998679
13.721643,60,85.339183
24.555688,60,87.496967
24.921789,60,89.874089
40.492535,60,92.371537
32.579752,60,95.220381
32.130137,60,98.197893
36.318109,60,101.357015
36.335886,60,104.854614
36.770084,60,107.941267
36.4574,60,111.26596
40.177533,60,113.877999
38.79307,60,115.953017
39.159084,60,118.120149
43.000601,60,120.702226
43.259025,60,122.917288
35.02298,60,125.047182
39.94675,60,127.313745
43.332595,60,129.640733
42.272035,60,132.1714
44.609359,60,134.438087
39.758092,60,137.161562
38.093586,60,139.401761
34.261626,60,141.435582
43.328826,60,143.762837
37.964202,60,145.925377
38.905226,60,148.095829
40.085243,60,150.256414
40.867132,60,152.463475
42.109929,60,154.694487
38.655797,60,156.736251
43.060133,60,158.834352
42.884137,60,160.925552
43.079922,60,164.043877
44.028977,60,167.224825
42.141293,60,170.418422
46.960608,60,173.197854
39.599283,60,175.75617
45.592469,60,178.313776
40.519687,60,180.77826
42.011565,60,183.34181
37.524905,60,185.510031
51.370958,60,187.936769
42.11404,60,190.536852
40.21709,60,193.079942
37.478336,60,195.608817
38.552999,60,198.005516
44.243277,60,200.587337
41.338319,60,203.04561
37.666823,60,205.446912
35.91036,60,207.746034
40.544445,60,210.127026
43.551463,60,212.426934
42.169838,60,214.797234
37.555608,60,217.250736
44.296861,60,219.788895
43.071588,60,222.193945
42.367818,60,224.537511
42.447264,60,226.816865
46.415143,60,229.075379
40.848141,60,231.416356
42.34133,60,233.870903
41.61151,60,236.106915
42.847208,60,238.482761
43.813321,60,240.721438
39.707125,60,243.066382
42.461555,60,245.448142
45.612193,60,247.669823
44.61623,60,249.953211
47.16037,60,252.236994
42.521242,60,254.428833
43.535282,60,256.735087
42.637741,60,259.076818
41.267949,60,261.26214
44.211751,60,263.675631
42.320108,60,265.81373
44.640953,60,268.253252
38.53836,60,270.424281
36.246447,60,272.640247
40.248625,60,274.917798
37.055959,60,277.073733
40.870452,60,279.5113
40.512004,60,281.726561
43.255917,60,284.916728
37.286146,60,288.029039
40.769384,60,291.188905
44.182397,60,294.15549
38.919922,60,296.644748
40.971001,60,298.891093
37.596647,60,301.416681
41.120661,60,304.969444
45.291526,60,308.416636
43.213074,60,311.955289
41.881273,60,314.975796
41.261746,60,317.118115
41.984582,60,319.299546
40.431367,60,321.479223
40.099591,60,323.721372
39.382098,60,325.938629
38.870085,60,328.180493
39.562533,60,330.418801
41.907454,60,332.602693
41.674895,60,334.808282
33.850719,60,337.005803
36.156358,60,339.245627
40.698095,60,341.391333
40.118004,60,343.626732
42.351843,60,345.983309
36.312724,60,348.486985
