#{"t_start": 1788521919.0483854, "env_id": "None"}
r,l,t
16.016794,60,5.294392
5.812172,60,9.751229
-7.742202,60,13.727557
6.22918,60,18.280488
-8.160759,60,21.503466
-7.286505,60,24.919382
16.662841,60,29.644608
4.491609,60,33.795866
4.827285,60,39.686592
6.680148,60,43.478126
10.917262,60,47.034613
7.386036,60,51.137577
6.782935,60,55.429517
8.77288,60,59.821301
18.127001,60,63.741271
12.858515,60,67.520339
-3.079468,60,71.569927
6.932305,60,76.738142
11.224917,60,80.927389
10.968518,60,84.704536
7.918308,60,88.897498
25.77741,60,93.580887
10.888578,60,98.018679
12.701302,60,101.684567
0.545318,60,105.843407
9.593579,60,110.833607
14.924788,60,115.586501
19.584707,60,120.296564
30.396151,60,125.072955
19.417081,60,129.335436
12.854282,60,133.802208
24.076307,60,138.121808
11.199778,60,142.557556
25.519934,60,147.117706
29.808895,60,152.279971
22.678278,60,156.601827
20.500692,60,161.086277
28.153434,60,165.329861
21.452632,60,169.607294
13.473208,60,173.556742
28.320219,60,178.406256
20.324892,60,182.805494
24.117497,60,188.071293
28.839232,60,192.212864
18.141407,60,196.440873
26.371373,60,200.962221
16.883026,60,206.945063
27.537686,60,211.893636
22.661614,60,216.404537
23.25503,60,220.844486
28.420836,60,225.599683
27.389799,60,231.069524
27.311901,60,235.12444
24.561986,60,239.944736
27.109977,60,244.76456
22.155053,60,249.267881
18.813222,60,253.780665
22.468155,60,257.720228
32.809413,60,262.396092
24.938415,60,269.941409
29.04427,60,274.202688
33.189195,60,279.186978
34.505617,60,283.79058
32.835852,60,288.535064
24.701639,60,293.410532
27.376721,60,297.350805
35.108527,60,301.415085
25.498785,60,306.119228
31.700733,60,311.547168
27.160894,60,316.413185
39.709382,60,320.818479
36.014762,60,325.118966
30.816796,60,331.146575
35.450246,60,336.199447
34.20385,60,341.214444
31.428266,60,346.052462
27.591729,60,352.360244
35.329692,60,357.971794
31.444803,60,363.058152
25.901217,60,368.531568
33.098311,60,373.798712
31.054822,60,379.229269
28.373647,60,384.561629
