UE_ID,distance_km,SNR_dB,SINR_dB,RSSI_dBm,BER,Throughput_Mbps,Latency_ms,Packet_Loss_pct,Doppler_Hz,Propagation_Delay_ms,Rain_Rate_mmhr,Rain_Fade_dB,Link_Quality_Index,Spectral_Efficiency_bps_hz,altitude_m,speed_ms,network_type,Log_Throughput_Mbps,Log_BER,Log_Packet_Loss_pct
UAV_000,2.1648,25.512,23.612,-58.244,1.43e-06,109.902,1.814,0.2,68.5,0.007,0.0,0.0,100.0,7.85,474.7,11.4,UAV,4.708646928458809,5.8446636588326095,0.18232155679395462
UAV_001,1.8873,26.204,22.704,-56.798,1.2e-06,105.698,1.313,0.2,-35.9,0.006,0.0,0.0,100.0,7.55,374.2,18.4,UAV,4.670002413989579,5.920818392040458,0.18232155679395462
UAV_002,2.3081,25.856,22.256,-57.772,1.4e-06,103.624,1.215,1.0,51.3,0.008,0.0,0.0,100.0,7.402,445.8,11.4,UAV,4.65037297081892,5.853871654111528,0.6931471805599453
UAV_003,0.4814,44.271,42.871,-48.264,1e-08,199.382,1.003,1.1,-39.7,0.002,0.0,0.0,100.0,14.242,241.1,10.8,UAV,5.300225544817338,7.999956572723137,0.7419373447293773
UAV_004,0.4182,38.793,35.693,-50.303,1e-08,166.004,1.003,1.8,-23.1,0.001,0.0,0.0,100.0,11.857,201.5,10.8,UAV,5.1180177642257165,7.999956572723137,1.0296194171811583
UAV_005,1.987,28.457,23.757,-55.471,1.12e-06,110.572,1.513,0.8,-35.9,0.007,0.0,0.0,100.0,7.898,397.6,14.0,UAV,4.7146701224101815,5.950781589567061,0.5877866649021191
UAV_006,1.2038,35.41,32.41,-52.495,1e-08,150.741,1.908,0.9,-107.0,0.004,0.0,0.0,100.0,10.767,426.7,13.7,UAV,5.022175120108327,7.999956572723137,0.6418538861723948
UAV_007,1.5383,27.58,24.88,-56.51,1.13e-06,115.776,1.51,1.7,-47.2,0.005,0.0,0.0,100.0,8.27,103.3,18.7,UAV,4.760257569828277,5.94692117218535,0.9932517730102834
UAV_008,2.2537,21.563,17.363,-59.118,1.37e-06,81.118,1.715,1.4,24.1,0.008,0.0,0.0,95.771,5.794,165.2,12.3,UAV,4.408157237251134,5.863279115840437,0.8754687373538999
UAV_009,1.1115,28.703,25.903,-56.349,1e-08,120.518,1.107,1.1,-98.5,0.004,0.0,0.0,100.0,8.608,113.5,12.9,UAV,4.800062399955898,7.999956572723137,0.7419373447293773
UAV_010,2.5602,20.856,17.556,-58.772,1.28e-06,81.997,1.717,0.8,157.9,0.009,0.0,0.0,96.445,5.857,56.2,19.9,UAV,4.4188044625650535,5.8927896910597,0.5877866649021191
UAV_011,2.0421,21.02,16.12,-60.39,1.02e-06,75.455,1.914,0.7,-51.9,0.007,0.0,0.0,91.418,5.39,177.8,11.4,UAV,4.336702332460114,5.991399402459387,0.5306282510621704
UAV_012,2.3567,23.075,21.275,-58.962,1.23e-06,99.094,1.616,0.8,96.0,0.008,0.0,0.0,100.0,7.078,359.4,12.9,UAV,4.606109744464757,5.9100945354758005,0.5877866649021191
UAV_013,1.64,29.524,26.424,-54.538,1e-08,122.937,1.911,0.9,90.4,0.005,0.0,0.0,100.0,8.781,366.6,18.6,UAV,4.819773371980399,7.999956572723137,0.6418538861723948
UAV_014,1.5751,27.775,24.275,-56.613,1.25e-06,112.971,1.511,1.0,107.1,0.005,0.0,0.0,100.0,8.069,144.6,14.5,UAV,4.735944030067985,5.903089639556497,0.6931471805599453
UAV_015,1.6758,25.637,22.637,-57.382,1.48e-06,105.386,1.811,2.8,-92.9,0.006,0.0,0.0,100.0,7.528,165.3,11.9,UAV,4.6670739893029065,5.829737991162924,1.33500106673234
UAV_016,1.4813,27.708,24.308,-55.346,1.28e-06,113.125,1.51,0.7,-99.9,0.005,0.0,0.0,100.0,8.08,339.9,14.0,UAV,4.737294338915133,5.8927896910597,0.5306282510621704
UAV_017,1.4024,25.683,20.883,-56.458,1.32e-06,97.287,1.009,0.6,-114.4,0.005,0.0,0.0,100.0,6.949,243.2,19.3,UAV,4.587891770187818,5.879425739783303,0.4700036292457356
UAV_018,1.3769,25.143,22.743,-57.829,1.37e-06,105.876,1.509,1.8,-143.1,0.005,0.0,0.0,100.0,7.563,250.2,18.1,UAV,4.6716692839382965,5.863279115840437,1.0296194171811583
UAV_019,1.0519,33.481,31.081,-53.159,1e-08,144.566,1.507,0.3,117.4,0.004,0.0,0.0,100.0,10.326,390.0,14.7,UAV,4.98062959200985,7.999956572723137,0.26236426446749106
UAV_000,2.0134000000000003,27.842,26.142,-55.379,1e-08,121.629,1.113,1.3,93.1,0.007,0.0,0.0,100.0,8.688,466.1,15.5,UAV,4.809163537129253,7.999956572723137,0.832909122935104
UAV_001,1.7959,28.235,25.335,-56.082,1e-08,117.886,1.612,1.0,-27.5,0.006,0.0,0.0,100.0,8.42,370.5,14.1,UAV,4.7781650507590845,7.999956572723137,0.6931471805599453
UAV_002,2.1735,26.878,23.378,-55.961,1.34e-06,108.815,1.314,0.4,61.7,0.007,0.0,0.0,100.0,7.772,440.7,13.7,UAV,4.698797131766716,5.872894877534954,0.33647223662121295
UAV_003,0.614,42.258,39.758,-48.571,1e-08,184.903,1.904,1.9,-56.6,0.002,0.0,0.0,100.0,13.207,249.9,15.4,UAV,5.225225032305632,7.999956572723137,1.0647107369924282
UAV_004,0.3462,50.236,46.836,-44.082,1e-08,217.819,1.802,2.1,-33.3,0.001,0.0,0.0,100.0,15.558,195.0,15.6,UAV,5.388244904072019,7.999956572723137,1.1314021114911006
UAV_005,1.8438,27.906,24.206,-57.047,1.19e-06,112.653,1.412,2.0,-36.9,0.006,0.0,0.0,100.0,8.047,383.8,14.4,UAV,4.733149946782542,5.924452673654276,1.0986122886681096
UAV_006,1.1035,36.565,35.265,-50.917,1e-08,164.014,1.307,0.3,-85.1,0.004,0.0,0.0,100.0,11.715,423.2,10.9,UAV,5.106030318786,7.999956572723137,0.26236426446749106
UAV_007,1.432,27.602,25.402,-55.899,1e-08,118.194,1.71,2.3,-28.5,0.005,0.0,0.0,100.0,8.442,113.8,11.3,UAV,4.780752417793902,7.999956572723137,1.1939224684724346
UAV_008,2.3433,26.324,22.224,-56.338,1.34e-06,103.479,1.116,1.2,21.8,0.008,0.0,0.0,100.0,7.391,216.9,11.1,UAV,4.648986094272516,5.872894877534954,0.7884573603642702
